symbol,timeframe,ema_x,ema_y,long_trades,long_win_rate,long_profit_pct,short_trades,short_win_rate,short_profit_pct
XRP,5m,299,300,6,83.33,24.59,6,83.33,32.45
XRP,15m,2,3,500,70.2,89.13,500,68.6,-13.51
ETH,2h,47,299,5,40.0,37.5,6,50.0,3206.14
ETH,15m,2,10,301,74.42,248.55,300,75.67,-20.0
ETH,30m,228,294,8,87.5,71.85,9,77.78,14.49
ETH,4h,12,13,111,81.08,378.72,112,57.14,-74.75
ETH,5m,37,96,26,84.62,21.02,25,68.0,-16.09
SOL,5m,150,288,9,77.78,14.92,8,87.5,39.01
SOL,1h,4,28,129,71.32,-0.35,130,78.46,106.66
XRP,30m,5,12,173,74.57,133.39,174,68.97,-28.18
XRP,2h,4,13,179,70.39,92.81,179,71.51,69.89
SOL,3h,145,298,2,100.0,24.65,3,100.0,79.98
SOL,4h,20,29,58,68.97,14.68,58,75.86,21.57
SOL,30m,27,61,43,69.77,-10.77,43,90.7,129.23
XRP,1h,211,284,10,80.0,63.14,11,81.82,170.02
SOL,15m,134,153,14,85.71,283.34,15,86.67,254.9
ETH,1h,154,187,11,90.91,173.8,12,83.33,-17.99
XRP,3h,87,121,13,69.23,-24.03,13,69.23,77.08
SOL,2h,108,160,13,69.23,-4.62,11,81.82,63.83
ETH,3h,9,35,84,83.33,234.54,85,69.41,-72.33
XAU,1h,299,300,6,66.67,23.41,6,100.0,102.46
XRP,4h,38,222,21,90.48,118.35,20,70.0,34.63
XAU,15m,21,32,52,71.15,2.15,52,71.15,-14.93
XAU,5m,98,105,16,81.25,162.62,18,88.89,91.88
OIL,15m,2,3,514,71.6,100.85,516,70.54,14.22
XAU,30m,91,230,12,66.67,41.9,12,83.33,39.68
XAG,5m,53,64,25,88.0,224.1,25,60.0,-37.86
XAG,15m,278,296,7,100.0,163.91,7,57.14,0.76
XAG,2h,202,295,7,85.71,159.96,8,75.0,-52.57
XAG,1h,113,142,12,91.67,161.0,12,66.67,-41.35
XAG,30m,77,145,18,88.89,210.45,19,73.68,-27.22
OIL,5m,117,272,11,90.91,45.78,12,75.0,28.18
XAU,3h,202,267,9,88.89,197.78,8,87.5,34.77
XAG,3h,110,280,7,14.29,29.58,8,50.0,6.51
XAU,4h,32,34,40,75.0,188.51,39,61.54,-61.98
XAG,4h,25,31,57,84.21,279.93,56,71.43,-22.14
XAU,2h,151,275,8,75.0,42.82,8,87.5,90.06
OIL,30m,216,296,8,100.0,112.6,8,87.5,44.07
OIL,1h,35,48,33,90.91,99.42,33,60.61,-32.24
OIL,2h,173,289,10,100.0,128.32,10,90.0,-38.35
OIL,3h,8,82,65,90.77,165.78,66,69.7,-9.71
TSLA,5m,20,299,16,81.25,144.1,17,76.47,176.44
TSLA,15m,41,57,32,81.25,168.19,34,70.59,-62.62
TSLA,30m,179,294,3,66.67,29.8,2,50.0,203.17
TSLA,4h,2,3,508,71.06,112.87,506,68.18,-35.41
GOOGL,2h,293,300,8,100.0,226.98,8,75.0,102.51
OIL,4h,195,214,11,90.91,96.98,11,81.82,-28.22
GOOGL,1h,6,7,191,71.73,4.79,193,70.98,-39.9
GOOGL,4h,299,300,6,66.67,0.23,5,100.0,143.3
GOOGL,30m,5,7,199,71.36,2.98,200,71.5,-73.27
TSLA,2h,128,205,15,100.0,298.03,15,86.67,75.54
NVDA,30m,2,3,514,69.65,118.84,515,71.65,29.49
GOOGL,5m,33,115,31,87.1,468.51,30,86.67,392.39
TSLA,1h,27,118,27,88.89,143.83,26,69.23,-4.47
NVDA,5m,44,54,34,70.59,106.71,32,84.38,66.87
GOOGL,15m,16,42,57,73.68,25.25,59,72.88,11.76
NVDA,15m,253,286,7,85.71,278.19,7,57.14,-12.75
TSLA,3h,72,167,16,81.25,214.89,17,82.35,168.16
NVDA,1h,10,12,125,80.8,292.37,125,67.2,-17.47
GOOGL,3h,18,37,64,81.25,228.37,65,75.38,-12.99
NVDA,3h,262,295,6,83.33,56.66,5,40.0,-24.02
NVDA,2h,32,238,25,88.0,186.01,26,80.77,117.79
NVDA,4h,115,201,8,75.0,-15.42,8,62.5,15.96
