symbol,timeframe,ema_x,ema_y,omega_ratio,ulcer_index,recovery_factor,tail_ratio,sharpe,sortino,sqn
XRP,5m,299,300,3.64,7.38,3.28,1.16,2.08,3.43,2.08
XRP,15m,2,3,1.1,18.52,1.52,0.5,1.03,0.91,1.03
ETH,2h,47,299,0.05,527.78,5.0,0.02,-1.47,-8.71,-1.47
ETH,15m,2,10,1.27,23.73,3.35,0.51,1.7,1.16,1.7
ETH,30m,228,294,2.73,17.34,2.41,1.21,1.66,1.48,1.66
ETH,4h,12,13,1.14,31.14,0.4,0.52,0.66,0.57,0.66
ETH,5m,37,96,1.26,37.89,0.02,0.42,0.57,0.45,0.57
SOL,5m,150,288,1.89,15.49,1.56,0.6,1.09,1.81,1.09
SOL,1h,4,28,1.28,26.08,2.01,0.44,1.32,1.03,1.32
XRP,30m,5,12,1.19,24.25,1.53,0.52,1.09,0.91,1.09
XRP,2h,4,13,1.37,15.92,5.74,0.57,2.1,1.74,2.1
SOL,3h,145,298,999.0,0.0,124.34,0.0,1.65,0.0,1.65
SOL,4h,20,29,1.29,31.62,0.67,0.4,0.94,0.75,0.94
SOL,30m,27,61,1.57,25.72,1.68,0.49,1.42,1.01,1.42
XRP,1h,211,284,5.48,7.65,13.71,1.82,3.32,3.72,3.32
SOL,15m,134,153,15.99,2.47,104.59,6.28,5.87,10.9,5.87
ETH,1h,154,187,2.47,16.96,2.7,0.71,1.66,1.69,1.66
XRP,3h,87,121,1.67,28.35,0.64,1.1,0.91,0.75,0.91
SOL,2h,108,160,1.73,15.69,1.59,0.71,1.04,1.19,1.04
ETH,3h,9,35,1.14,27.85,-0.11,0.57,0.49,0.33,0.49
XAU,1h,299,300,7.3,4.22,10.46,2.51,3.36,4.48,3.36
XRP,4h,38,222,2.38,14.52,4.92,0.91,2.28,2.15,2.28
XAU,15m,21,32,1.03,19.57,-0.23,0.5,0.12,0.12,0.12
XAU,5m,98,105,5.12,9.13,14.92,2.44,3.94,3.21,3.94
OIL,15m,2,3,1.21,10.43,4.28,0.59,2.17,2.02,2.17
XAU,30m,91,230,2.54,7.53,4.75,1.26,1.94,2.42,1.94
XAG,5m,53,64,1.78,20.99,2.25,0.86,1.49,1.31,1.49
XAG,15m,278,296,4.36,5.17,10.41,2.38,2.46,8.37,2.46
XAG,2h,202,295,2.01,38.34,0.32,0.75,1.05,0.87,1.05
XAG,1h,113,142,1.73,28.77,1.06,0.38,1.05,0.89,1.05
XAG,30m,77,145,2.1,15.71,3.36,0.54,1.65,1.25,1.65
OIL,5m,117,272,5.61,3.24,6.72,1.7,3.45,4.04,3.45
XAU,3h,202,267,6.56,6.85,10.86,3.88,3.27,2.79,3.27
XAG,3h,110,280,0.16,127.81,0.21,0.05,-1.24,-0.87,-1.24
XAU,4h,32,34,1.19,21.13,0.24,0.39,0.56,0.5,0.56
XAG,4h,25,31,1.57,9.75,7.81,0.51,1.94,2.16,1.94
XAU,2h,151,275,4.9,6.03,9.08,1.64,2.81,3.85,2.81
OIL,30m,216,296,15.73,1.95,25.65,7.3,5.23,0.0,5.23
OIL,1h,35,48,1.37,10.61,1.46,0.54,0.96,0.88,0.96
OIL,2h,173,289,2.23,28.13,0.63,10.75,1.11,0.0,1.11
OIL,3h,8,82,1.86,5.02,6.78,0.64,2.7,2.27,2.7
TSLA,5m,20,299,0.38,115.89,1.58,0.17,-0.88,-0.47,-0.88
TSLA,15m,41,57,1.25,58.3,0.0,0.41,0.64,0.53,0.64
TSLA,30m,179,294,0.04,309.73,0.53,0.0,-1.45,-1.73,-1.45
TSLA,4h,2,3,1.08,39.05,0.51,0.5,0.84,0.71,0.84
GOOGL,2h,293,300,7.26,11.22,19.07,2.11,3.75,7.0,3.75
OIL,4h,195,214,1.84,18.25,0.95,0.48,1.0,0.85,1.0
GOOGL,1h,6,7,1.05,54.67,-0.47,0.41,0.31,0.28,0.31
GOOGL,4h,299,300,3.57,19.27,3.23,1.44,1.75,1.74,1.75
GOOGL,30m,5,7,0.96,61.48,-0.8,0.39,-0.28,-0.24,-0.28
TSLA,2h,128,205,8.67,6.86,22.36,51.04,4.58,3.0,4.58
NVDA,30m,2,3,1.15,33.36,2.9,0.54,1.57,1.38,1.57
GOOGL,5m,33,115,5.06,8.8,80.8,1.65,5.46,4.05,5.46
TSLA,1h,27,118,1.75,25.99,2.51,0.6,1.54,1.34,1.54
NVDA,5m,44,54,1.94,23.31,4.34,0.67,1.95,1.56,1.95
GOOGL,15m,16,42,1.31,34.33,0.57,0.47,1.03,0.87,1.03
NVDA,15m,253,286,3.69,10.05,7.68,1.23,2.1,3.03,2.1
TSLA,3h,72,167,4.58,6.3,34.15,1.6,4.13,7.02,4.13
NVDA,1h,10,12,1.36,23.8,4.6,0.52,1.74,1.49,1.74
GOOGL,3h,18,37,1.58,31.46,2.31,0.51,1.8,1.33,1.8
NVDA,3h,262,295,1.5,13.49,0.68,1.13,0.6,1.46,0.6
NVDA,2h,32,238,3.13,8.22,21.79,0.71,3.45,3.4,3.45
NVDA,4h,115,201,1.64,39.48,-0.03,1.19,0.67,0.62,0.67
