symbol,timeframe,bars,start,end,days,start_price,end_price,bh_return_pct,bar_vol_pct,ann_vol_pct,regime,hurst,skewness,kurtosis
ETH,15m,4000,2022-01-01,2022-02-11,41.7,2391.0910524415,6221.074632929129,160.18,1.2203,228.46,Bullish,0.555,0.023,0.116
ETH,1h,4000,2022-01-01,2022-06-16,166.6,2288.067184115006,5685.725311371509,148.49,1.2126,113.51,Bullish,0.556,0.069,-0.086
ETH,2h,4000,2022-01-01,2022-11-30,333.2,2324.926618178515,125479.1282240875,5297.12,1.2257,81.13,Bullish,0.555,-0.024,-0.086
ETH,30m,4000,2022-01-01,2022-03-25,83.3,2314.246562582187,2776.976298870256,19.99,1.2277,162.52,Bullish,0.558,0.094,0.065
ETH,3h,4000,2022-01-01,2023-05-15,499.9,2310.064057324485,14453.56937603252,525.68,1.1988,64.79,Bullish,0.554,0.038,-0.042
ETH,4h,4000,2022-01-01,2023-10-29,666.5,2337.008261723806,29259.66139856437,1152.01,1.2348,57.79,Bullish,0.559,0.062,0.054
ETH,5m,4000,2022-01-01,2022-01-14,13.9,2353.687455000118,2429.204406717866,3.21,1.2142,393.71,Sideways,0.554,0.04,-0.011
GOOGL,15m,4000,2022-01-01,2022-02-11,41.7,2244.944349283604,1089.401218035474,-51.47,1.9391,363.02,Bearish,0.553,0.072,0.097
GOOGL,1h,4000,2022-01-01,2022-06-16,166.6,2219.594448628668,1802.980277794115,-18.77,1.9268,180.36,Bearish,0.554,-0.049,0.032
GOOGL,2h,4000,2022-01-01,2022-11-30,333.2,2268.159592017008,2618.700921666155,15.45,1.9114,126.52,Bullish,0.555,0.043,0.022
GOOGL,30m,4000,2022-01-01,2022-03-25,83.3,2270.278088913578,3196.937463827881,40.82,1.921,254.3,Bullish,0.558,0.073,0.102
GOOGL,3h,4000,2022-01-01,2023-05-15,499.9,2261.571567441189,2153.431428910293,-4.78,1.972,106.58,Sideways,0.557,0.072,-0.07
GOOGL,4h,4000,2022-01-01,2023-10-29,666.5,2232.875324847656,700.4376907103298,-68.63,1.9249,90.09,Bearish,0.554,0.07,-0.11
GOOGL,5m,4000,2022-01-01,2022-01-14,13.9,2214.232088863599,1859.389356029957,-16.03,1.9432,630.09,Bearish,0.557,0.006,0.116
NVDA,15m,4000,2022-01-01,2022-02-11,41.7,1430.515299588501,4812.131957733112,236.39,1.6189,303.08,Bullish,0.553,0.035,0.028
NVDA,1h,4000,2022-01-01,2022-06-16,166.6,1432.693727776797,3681.077730061148,156.93,1.5972,149.51,Bullish,0.557,0.085,0.02
NVDA,2h,4000,2022-01-01,2022-11-30,333.2,1476.367014058644,1623.438970050892,9.96,1.604,106.17,Sideways,0.555,0.048,-0.014
NVDA,30m,4000,2022-01-01,2022-03-25,83.3,1429.513177825013,1327.127369118991,-7.16,1.6023,212.11,Sideways,0.553,0.04,0.09
NVDA,3h,4000,2022-01-01,2023-05-15,499.9,1407.034854796884,2469.740077727869,75.53,1.639,88.58,Bullish,0.554,0.009,-0.057
NVDA,4h,4000,2022-01-01,2023-10-29,666.5,1446.998789892325,1009.465845311404,-30.24,1.6205,75.84,Bearish,0.557,0.015,0.045
NVDA,5m,4000,2022-01-01,2022-01-14,13.9,1420.24708090359,959.1709966097028,-32.46,1.6509,535.34,Bearish,0.554,0.125,0.095
OIL,15m,4000,2022-01-01,2022-02-11,41.7,199.9606302944253,317.2309570711168,58.65,0.7188,134.57,Bullish,0.547,0.053,0.075
OIL,1h,4000,2022-01-01,2022-06-16,166.6,199.0822801389562,527.0669034777482,164.75,0.716,67.02,Bullish,0.559,-0.03,0.048
OIL,2h,4000,2022-01-01,2022-11-30,333.2,197.0771637952896,403.9129726906442,104.95,0.7157,47.37,Bullish,0.558,0.015,-0.086
