symbol,timeframe,ema_x,ema_y,final_balance,profit_pct,profit_pct_no_shift,lookahead_delta,bh_return_pct,alpha_pct,profit_factor,sharpe,sortino,calmar,omega_ratio,ulcer_index,recovery_factor,tail_ratio,max_drawdown_pct,max_dd_bars,total_trades,win_rate_pct,payoff_ratio,expectancy_pct,expectancy_dol,sqn,kelly_fraction,kelly_profit_pct,risk_of_ruin_pct,long_trades,long_win_rate,long_profit_pct,short_trades,short_win_rate,short_profit_pct,max_consec_wins,max_consec_loss,avg_win_pct,avg_loss_pct,avg_hold_bars,avg_mae_pct,avg_mfe_pct,avg_edge_ratio,t_stat,p_value,is_significant,ljung_box_p,has_autocorrelation,mc_p5,mc_p50,mc_p95,mc_prob_ruin,mc_sharpe_p5,mc_sharpe_p95,robustness_score,cagr_pct,wf_oos_avg,wf_oos_min,wf_oos_max,wf_oos_positive_folds,wf_oos_total_folds,regime_best_emas
ETH,2h,47,299,4545923.81,4445.92,2649.83,-1796.1,5297.12,-851.2,5.1,-1.47,-8.71,5.0,0.05,527.78,5.0,0.02,-888.92,6,11,45.45,6.12,-106.1,404174.89,-1.47,0.3654,85.98,0.0,5,40.0,37.5,6,50.0,3206.14,4,6,-110.29,-102.6,363.5,-139.12,7.05,3.51,-1.402,0.1913,False,,False,-27532394.74,173698.42,106906362.6,48.6,-2.45,5.66,100.0,6443.68,-173.53,-344.81,-11.05,0,3,"{'Bullish': {'ema_x': 72, 'ema_y': 272, 'profit_factor': 4.87}, 'Bearish': {'ema_x': 152, 'ema_y': 272, 'profit_factor': 2.39}, 'Sideways': {'ema_x': 72, 'ema_y': 262, 'profit_factor': 2.82}}"
GOOGL,5m,33,115,2799321.92,2699.32,-98.24,-2797.56,-16.03,2715.35,8.73,5.46,4.05,80.8,5.06,8.8,80.8,1.65,-33.41,6,61,86.89,1.32,6.03,44251.18,5.46,0.7693,1284.26,0.0,31,87.1,468.51,30,86.67,392.39,21,1,8.66,-11.33,65.5,-9.59,8.87,6.64,5.413,0.0,True,0.402,False,728042.54,2886134.91,8066071.88,0.0,2.78,10.97,100.0,9.957319020877433e+39,217.08,28.25,526.15,3,3,"{'Bullish': {'ema_x': 2, 'ema_y': 142, 'profit_factor': 2.85}, 'Bearish': {'ema_x': 32, 'ema_y': 52, 'profit_factor': 1.88}, 'Sideways': {'ema_x': 12, 'ema_y': 112, 'profit_factor': 5.89}}"
SOL,15m,134,153,1360471.38,1260.47,-95.8,-1356.27,-12.32,1272.79,6.78,5.87,10.9,104.59,15.99,2.47,104.59,6.28,-12.05,1,29,86.21,1.08,9.79,43464.53,5.87,0.7349,609.47,0.0,14,85.71,283.34,15,86.67,254.9,9,1,12.11,-4.74,137.9,-10.51,12.68,11.98,5.769,0.0,True,0.5026,False,623275.1,1367772.28,2820293.58,0.0,4.0,8.9,100.0,837870367719.79,119.79,15.52,228.54,3,3,"{'Bullish': {'ema_x': 132, 'ema_y': 272, 'profit_factor': 3.07}, 'Bearish': {'ema_x': 92, 'ema_y': 112, 'profit_factor': 5.62}, 'Sideways': {'ema_x': 132, 'ema_y': 292, 'profit_factor': 8.25}}"
TSLA,3h,72,167,844410.71,744.41,-89.1,-833.52,-6.14,750.55,3.45,4.13,7.02,34.15,4.58,6.3,34.15,1.6,-21.8,4,33,81.82,0.77,7.19,22557.9,4.13,0.5808,265.31,0.0,16,81.25,214.89,17,82.35,168.16,7,1,11.24,-11.04,121.2,-9.48,11.26,7.25,4.069,0.0003,True,0.3539,False,307956.3,834272.41,1940501.28,0.0,2.04,7.48,100.0,374.81,66.11,-16.08,113.44,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 72, 'profit_factor': 2.39}, 'Bearish': {'ema_x': 22, 'ema_y': 242, 'profit_factor': 2.62}, 'Sideways': {'ema_x': 32, 'ema_y': 182, 'profit_factor': 3.88}}"
TSLA,2h,128,205,698683.71,598.68,-90.16,-688.85,88.82,509.86,4.95,4.58,3.0,22.36,8.67,6.86,22.36,51.04,-26.77,4,30,93.33,0.35,7.07,19956.12,4.58,0.7449,340.02,0.0,15,100.0,298.03,15,86.67,75.54,24,1,8.57,-13.84,133.3,-10.92,9.45,4.51,4.5,0.0001,True,0.2791,False,306782.62,730987.95,1376178.19,0.0,2.25,9.4,100.0,741.11,25.85,-30.83,80.73,2,3,"{'Bullish': {'ema_x': 252, 'ema_y': 292, 'profit_factor': 2.92}, 'Bearish': {'ema_x': 112, 'ema_y': 232, 'profit_factor': 7.02}, 'Sideways': {'ema_x': 52, 'ema_y': 112, 'profit_factor': 5.25}}"
TSLA,5m,20,299,674800.32,574.8,72.45,-502.35,1124.28,-549.48,1.45,-0.88,-0.47,1.58,0.38,115.89,1.58,0.17,-363.64,8,33,78.79,0.39,-10.89,17418.19,-0.88,0.2444,-93.74,0.0,16,81.25,144.1,17,76.47,176.44,14,2,1.87,-58.3,121.2,-28.71,7.48,4.41,-0.863,0.3943,False,0.6587,False,-3201797.57,-37217.98,3797605.76,51.0,-1.76,4.96,100.0,5.933381876155404e+23,-95.0,-223.65,67.4,1,3,"{'Bullish': {'ema_x': 22, 'ema_y': 262, 'profit_factor': 1.43}, 'Bearish': {'ema_x': 12, 'ema_y': 32, 'profit_factor': 3.44}, 'Sideways': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 1.27}}"
GOOGL,2h,293,300,662176.12,562.18,-92.29,-654.47,15.45,546.72,13.8,3.75,7.0,19.07,7.26,11.22,19.07,2.11,-29.48,4,16,87.5,1.97,13.6,35136.01,3.75,0.8116,382.98,0.0,8,100.0,226.98,8,75.0,102.51,11,1,18.03,-17.37,249.9,-21.83,21.85,10.61,3.626,0.0025,True,0.0,True,222088.01,671557.27,1572521.04,0.0,1.55,8.77,100.0,693.1,96.4,-21.16,241.0,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 152, 'profit_factor': 5.56}, 'Bearish': {'ema_x': 252, 'ema_y': 292, 'profit_factor': 258.37}, 'Sideways': {'ema_x': 182, 'ema_y': 212, 'profit_factor': 21.38}}"
NVDA,2h,32,238,622887.81,522.89,-89.72,-612.61,9.96,512.93,2.79,3.45,3.4,21.79,3.13,8.22,21.79,0.71,-23.99,6,51,84.31,0.52,4.03,10252.7,3.45,0.5404,184.35,0.0,25,88.0,186.01,26,80.77,117.79,10,2,7.01,-12.04,78.4,-9.86,6.72,3.35,3.414,0.0013,True,0.0656,False,209373.48,637718.4,1728432.05,0.0,1.42,6.91,100.0,641.7,30.77,1.19,88.56,3,3,"{'Bullish': {'ema_x': 102, 'ema_y': 142, 'profit_factor': 1.78}, 'Bearish': {'ema_x': 2, 'ema_y': 232, 'profit_factor': 2.08}, 'Sideways': {'ema_x': 2, 'ema_y': 182, 'profit_factor': 2.58}}"
XAU,5m,98,105,503915.18,403.92,-82.05,-485.96,12.54,391.37,7.21,3.94,3.21,14.92,5.12,9.13,14.92,2.44,-27.07,8,34,85.29,1.24,5.19,11879.86,3.94,0.7347,237.86,0.0,16,81.25,162.62,18,88.89,91.88,12,1,7.56,-8.57,117.6,-8.65,7.62,7.54,3.884,0.0005,True,0.0009,True,225023.38,513334.87,989310.54,0.0,1.72,8.98,100.0,2.7752881359549147e+20,78.27,45.56,131.82,3,3,"{'Bullish': {'ema_x': 192, 'ema_y': 222, 'profit_factor': 3.83}, 'Bearish': {'ema_x': 102, 'ema_y': 112, 'profit_factor': 2.47}, 'Sideways': {'ema_x': 102, 'ema_y': 112, 'profit_factor': 3.47}}"
XRP,1h,211,284,440518.4,340.52,-84.83,-425.35,-47.45,387.97,2.99,3.32,3.72,13.71,5.48,7.65,13.71,1.82,-24.84,5,21,80.95,0.7,7.93,16215.16,3.32,0.5387,132.34,0.0,10,80.0,63.14,11,81.82,170.02,9,2,11.98,-9.29,190.4,-9.14,12.07,34.46,3.242,0.0041,True,0.0586,False,174049.07,457645.45,879498.65,0.0,1.26,7.04,100.0,2475.43,13.07,-34.13,56.46,2,3,"{'Bullish': {'ema_x': 102, 'ema_y': 152, 'profit_factor': 5.24}, 'Bearish': {'ema_x': 212, 'ema_y': 252, 'profit_factor': 1.28}, 'Sideways': {'ema_x': 232, 'ema_y': 282, 'profit_factor': 3.19}}"
