entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,20,2022-01-01 00:15:00,2022-01-01 05:00:00,2433.564301398197,2537.926333662077,1,0.042884435888510986,4288.443588851099,19,-1.1034854313623499,7.972981427303072,0.5378720153750189,7.225271127920307,Sideways,17100.0,0,Saturday,Asia,2022,1,104288.44358885109,4288.443588851099,-0.0
20,33,2022-01-01 05:00:00,2022-01-01 08:15:00,2537.926333662077,2524.370970311174,1,-0.005341117735022438,-557.0168556102997,13,-3.997604342561467,0.0,0.0,0.0,Bullish,11700.0,5,Saturday,Asia,2022,1,103731.4267332408,4288.443588851099,557.0168556102997
33,40,2022-01-01 08:15:00,2022-01-01 10:00:00,2524.370970311174,2455.491494815714,-1,0.027285797652382926,2830.394720036193,7,-0.002972510992904631,2.7285797652382926,1.0,917.9376533009967,Bullish,6300.0,8,Saturday,London,2022,1,106561.82145327699,7118.838308887292,557.0168556102997
40,49,2022-01-01 10:00:00,2022-01-01 12:15:00,2455.491494815714,2437.969126956679,1,-0.007135992079805642,-760.4243139002475,9,-2.304978763499299,0.0,0.0,0.0,Sideways,8100.0,10,Saturday,London,2022,1,105801.39713937674,7118.838308887292,1317.4411695105473
49,50,2022-01-01 12:15:00,2022-01-01 12:30:00,2437.969126956679,2422.576035123853,-1,0.006313899410219648,668.0193789987254,1,-0.0,0.6313899410219648,1.0,0.6313899410219648,Sideways,900.0,12,Saturday,London,2022,1,106469.41651837547,7786.857687886018,1317.4411695105473
50,51,2022-01-01 12:30:00,2022-01-01 12:45:00,2422.576035123853,2440.059908207285,1,0.007217058548396826,768.3960126267639,1,0.0,0.7217058548396826,1.0,0.7217058548396826,Sideways,900.0,12,Saturday,London,2022,1,107237.81253100223,8555.253700512782,1317.4411695105473
51,65,2022-01-01 12:45:00,2022-01-01 16:15:00,2440.059908207285,2510.937243146054,-1,-0.02904737490270981,-3114.9769443345335,14,-4.842708470656154,-0.0,0.0,-0.0,Sideways,12600.0,12,Saturday,London,2022,1,104122.8355866677,8555.253700512782,4432.41811384508
65,81,2022-01-01 16:15:00,2022-01-01 20:15:00,2510.937243146054,2381.63852589221,1,-0.0514942050450613,-5361.7226455730715,16,-8.322680285326168,0.0,0.0,0.0,Bearish,14400.0,16,Saturday,NY,2022,1,98761.11294109463,8555.253700512782,9794.140759418151
81,83,2022-01-01 20:15:00,2022-01-01 20:45:00,2381.63852589221,2358.670999786278,-1,0.009643581868633011,952.4108780847571,2,-0.00034938332864609123,0.9643581868633011,1.0,2760.1723030126327,Sideways,1800.0,20,Saturday,NY,2022,1,99713.52381917939,9507.664578597538,9794.140759418151
83,87,2022-01-01 20:45:00,2022-01-01 21:45:00,2358.670999786278,2386.150916848878,1,0.011650593518591545,1161.721734323655,4,-2.538739204075846,1.1650593518591545,1.0,0.4589125775458533,Bearish,3600.0,20,Saturday,NY,2022,1,100875.24555350305,10669.386312921193,9794.140759418151
87,90,2022-01-01 21:45:00,2022-01-01 22:30:00,2386.150916848878,2333.746294796226,-1,0.021961989781374314,2215.421112039658,3,-0.09921454325985124,2.1961989781374314,1.0,22.13585736503772,Bearish,2700.0,21,Saturday,Late,2022,1,103090.6666655427,12884.80742496085,9794.140759418151
90,95,2022-01-01 22:30:00,2022-01-01 23:45:00,2333.746294796226,2353.438621197153,1,0.008438075057617622,869.8867830636883,5,-1.413913048685922,0.8438075057617622,1.0,0.596788824140204,Bearish,4500.0,22,Saturday,Late,2022,1,103960.55344860638,13754.694208024539,9794.140759418151
95,103,2022-01-01 23:45:00,2022-01-02 01:45:00,2353.438621197153,2346.427593504329,-1,0.002979056955077053,309.7044098047306,8,-2.649022073718199,0.2979056955077053,1.0,0.11245874410157757,Sideways,7200.0,23,Saturday,Late,2022,1,104270.25785841112,14064.398617829269,9794.140759418151
103,104,2022-01-02 01:45:00,2022-01-02 02:00:00,2346.427593504329,2383.6651466085,1,0.015869892259730012,1654.757758107251,1,0.0,1.5869892259730012,1.0,1.5869892259730012,Bearish,900.0,1,Sunday,Asia,2022,1,105925.01561651837,15719.15637593652,9794.140759418151
104,117,2022-01-02 02:00:00,2022-01-02 05:15:00,2383.6651466085,2423.934612977947,-1,-0.01689392758321895,-1789.4895430767976,13,-4.221683528772302,-0.0,0.0,-0.0,Bearish,11700.0,2,Sunday,Asia,2022,1,104135.52607344158,15719.15637593652,11583.630302494948
