entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,24,2022-01-01 00:05:00,2022-01-01 02:00:00,2181.537127755882,2294.478800881347,1,0.05177160254964197,5177.1602549641975,23,-2.523151345822394,5.218413678936851,0.9920946428338625,2.068212708515099,Sideways,6900.0,0,Saturday,Asia,2022,1,105177.1602549642,5177.1602549641975,-0.0
24,136,2022-01-01 02:00:00,2022-01-01 11:20:00,2294.478800881347,2176.331420225246,-1,0.05149203409973491,5415.7859223619,112,-18.25892247559007,5.149203409973491,1.0,0.28201025645721106,Bullish,33600.0,2,Saturday,Asia,2022,1,110592.9461773261,10592.946177326097,-0.0
136,213,2022-01-01 11:20:00,2022-01-01 17:45:00,2176.331420225246,2405.177061254903,1,0.10515201816365449,11629.071485210257,77,-10.328771597678244,10.51520181636545,1.0,1.0180496022130174,Bearish,23100.0,11,Saturday,London,2022,1,122222.01766253635,22222.017662536353,-0.0
213,227,2022-01-01 17:45:00,2022-01-01 18:55:00,2405.177061254903,2233.123421925752,-1,0.07153470823448727,8743.116373319886,14,-2.065576321018048,7.447186926073968,0.960560127529915,3.6053796949044803,Bullish,4200.0,17,Saturday,NY,2022,1,130965.13403585623,30965.134035856237,-0.0
227,277,2022-01-01 18:55:00,2022-01-01 23:05:00,2233.123421925752,2379.012151345467,1,0.065329452007586,8555.880438662538,50,-10.557943432117934,10.581508584362819,0.617392609822467,1.0022319831884303,Bearish,15000.0,18,Saturday,NY,2022,1,139521.01447451877,39521.01447451877,-0.0
277,299,2022-01-01 23:05:00,2022-01-02 00:55:00,2379.012151345467,2102.729045160565,-1,0.11613354140652377,16203.069511556727,22,-5.2648930136265815,11.613354140652376,1.0,2.2058100916001,Bullish,6600.0,23,Saturday,Late,2022,1,155724.0839860755,55724.0839860755,-0.0
299,446,2022-01-02 00:55:00,2022-01-02 13:10:00,2102.729045160565,2136.323745049799,1,0.015976713674332954,2487.959102043306,147,-23.956891027235116,2.710983516754961,0.5893327486349689,0.11316090696714405,Sideways,44100.0,0,Sunday,Asia,2022,1,158212.0430881188,58212.04308811881,-0.0
446,668,2022-01-02 13:10:00,2022-01-03 07:40:00,2136.323745049799,2741.720526216601,-1,-0.2833825081847272,-44834.52559534124,222,-64.16607604195845,3.5410996205513245,-8.00266975094608,0.055186476078664774,Bullish,66600.0,13,Sunday,NY_overlap,2022,1,113377.51749277757,58212.04308811881,44834.52559534124
668,738,2022-01-03 07:40:00,2022-01-03 13:30:00,2741.720526216601,3061.471277499464,1,0.11662412278179901,13222.553520773256,70,-16.567642440304553,13.33036835221244,0.8748754700573814,0.8046026101929441,Bearish,21000.0,7,Monday,Asia,2022,1,126600.07101355083,71434.59660889207,44834.52559534124
738,791,2022-01-03 13:30:00,2022-01-03 17:55:00,3061.471277499464,2675.417652724027,-1,0.1261006848611549,15964.355658279603,53,-9.276965298877426,14.323874061259879,0.8803532083698278,1.5440258317009294,Bullish,15900.0,13,Monday,NY_overlap,2022,1,142564.4266718304,87398.95226717167,44834.52559534124
791,853,2022-01-03 17:55:00,2022-01-03 23:05:00,2675.417652724027,3072.990742541655,1,0.14860225259141546,21185.394942837676,62,-3.976046887847673,14.860225259141547,1.0,3.7374371274544336,Bearish,18600.0,17,Monday,NY,2022,1,163749.8216146681,108584.34721000935,44834.52559534124
853,955,2022-01-03 23:05:00,2022-01-04 07:35:00,3072.990742541655,2903.380995079553,-1,0.055193705960148276,9037.959505226725,102,-17.512433988528464,7.495199021646581,0.7363874635049125,0.42799299209671926,Bullish,30600.0,23,Monday,Late,2022,1,172787.78111989482,117622.30671523607,44834.52559534124
