entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,22,2022-01-01 00:30:00,2022-01-01 11:00:00,196.5684640081394,201.4694999156349,1,0.024932971482610755,2493.2971482610756,21,-1.5644761908341187,3.4134983005776443,0.7304228473877227,2.1818793539821772,Sideways,37800.0,0,Saturday,Asia,2022,1,102493.29714826107,2493.2971482610756,-0.0
22,754,2022-01-01 11:00:00,2022-01-16 17:00:00,201.4694999156349,217.672398186579,-1,-0.08042357914090736,-8242.87779461571,732,-27.405426363153886,2.2732780650177586,-3.5377801061164553,0.08294992513140176,Sideways,1317600.0,11,Saturday,London,2022,1,94250.41935364537,2493.2971482610756,8242.87779461571
754,969,2022-01-16 17:00:00,2022-01-21 04:30:00,217.672398186579,243.4098019663055,1,0.11823917039617293,11144.091393866429,215,-4.008564713897245,11.823917039617292,1.0,2.9496635039033037,Bearish,387000.0,17,Sunday,NY,2022,1,105394.5107475118,13637.388542127504,8242.87779461571
969,1220,2022-01-21 04:30:00,2022-01-26 10:00:00,243.4098019663055,223.770787683084,-1,0.08068292289207024,8503.537183888962,251,-3.339905611246574,8.509345248759658,0.9481684023084006,2.54778015884816,Bullish,451800.0,4,Friday,Asia,2022,1,113898.04793140075,22140.925726016467,8242.87779461571
1220,1402,2022-01-26 10:00:00,2022-01-30 05:00:00,223.770787683084,246.2817679686856,1,0.1005983869417435,11457.959897712302,182,-0.21533738192833773,10.620215446521497,0.9472348979011823,49.31895870293345,Bearish,327600.0,10,Wednesday,London,2022,1,125356.00782911306,33598.88562372877,8242.87779461571
1402,1558,2022-01-30 05:00:00,2022-02-02 11:00:00,246.2817679686856,221.0188291196945,-1,0.10257738141705752,12858.69102800658,156,-4.493332113802451,11.137467298817327,0.9210117405054027,2.4786655018456503,Bullish,280800.0,5,Sunday,Asia,2022,1,138214.69885711966,46457.57665173535,8242.87779461571
1558,1669,2022-02-02 11:00:00,2022-02-04 18:30:00,221.0188291196945,257.5969025980628,1,0.16549754436785635,22874.193256396065,111,-0.3990315361515062,16.549754436785634,1.0,41.47480321079671,Bearish,199800.0,11,Wednesday,London,2022,2,161088.8921135157,69331.76990813142,8242.87779461571
1669,1959,2022-02-04 18:30:00,2022-02-10 19:30:00,257.5969025980628,242.0349595234966,-1,0.06041199609782577,9731.70152176479,290,-12.019866026696157,8.201115249809055,0.7366314733747015,0.6822967270678687,Bullish,522000.0,18,Friday,NY,2022,2,170820.5936352805,79063.4714298962,8242.87779461571
1959,2155,2022-02-10 19:30:00,2022-02-14 21:30:00,242.0349595234966,262.7525540143586,1,0.08559752909930674,14621.820734456776,196,-2.3424984164794216,9.490389317677206,0.9019390694528105,4.051396257479851,Sideways,352800.0,19,Thursday,NY,2022,2,185442.41436973726,93685.29216435298,8242.87779461571
2155,2689,2022-02-14 21:30:00,2022-02-26 00:30:00,262.7525540143586,248.4468400323969,-1,0.05444557536510175,10096.51894745396,534,-6.863348802968083,7.2469536875067515,0.751289130755205,1.0558917950334648,Bullish,961200.0,21,Monday,Late,2022,2,195538.93331719126,103781.81111180695,8242.87779461571
2689,2768,2022-02-26 00:30:00,2022-02-27 16:00:00,248.4468400323969,280.8054417569201,1,0.13024356325201691,25467.687429729518,79,-3.1830005618454282,13.896724674840089,0.9372248950705763,4.365919642434212,Bearish,142200.0,0,Saturday,Asia,2022,2,221006.62074692076,129249.49854153646,8242.87779461571
2768,3190,2022-02-27 16:00:00,2022-03-08 11:00:00,280.8054417569201,280.4088818642307,-1,0.0014122229619492055,312.1106245616012,422,-14.476348318866883,5.138963868452818,0.027480694515456518,0.35499034392224843,Bullish,759600.0,16,Sunday,NY,2022,2,221318.73137148237,129561.60916609806,8242.87779461571
3190,3490,2022-03-08 11:00:00,2022-03-14 17:00:00,280.4088818642307,295.0437605373252,1,0.05219120940748412,11550.892254807763,300,-6.961171696354073,8.536429207370166,0.6113939229112727,1.2262920065369363,Bearish,540000.0,11,Tuesday,London,2022,3,232869.62362629012,141112.5014209058,8242.87779461571
3490,3609,2022-03-14 17:00:00,2022-03-17 04:30:00,295.0437605373252,263.0973084489609,-1,0.10827699602995955,25214.423312881994,119,-0.3213317343630617,10.827699602995954,1.0,33.69632826480222,Bullish,214200.0,17,Monday,NY,2022,3,258084.0469391721,166326.9247337878,8242.87779461571
3609,3865,2022-03-17 04:30:00,2022-03-22 12:30:00,263.0973084489609,294.6986283733464,1,0.12011266899948514,30999.16370405237,256,-9.60511378651031,12.450798984081523,0.9646984836318572,1.2962677237168987,Bearish,460800.0,4,Thursday,Asia,2022,3,289083.2106432245,197326.08843784017,8242.87779461571
3865,3999,2022-03-22 12:30:00,2022-03-25 07:30:00,294.6986283733464,277.15965296104,-1,0.05951495434205656,17204.774082486627,134,-0.0,12.954851630222086,0.459402824832169,12.954851630222086,Bullish,241200.0,12,Tuesday,London,2022,3,306287.9847257111,214530.8625203268,8242.87779461571
