entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,8,2022-01-01 03:00:00,2022-01-02 00:00:00,197.1511317874417,200.2232318594874,-1,-0.01558246226736304,-1558.246226736304,7,-1.558246226736304,-0.0,0.0,-0.0,Sideways,75600.0,3,Saturday,Asia,2022,1,98441.7537732637,0.0,1558.246226736304
8,11,2022-01-02 00:00:00,2022-01-02 09:00:00,200.2232318594874,197.2778640847289,-1,0.014710419702072985,1448.119514212836,3,-0.0,1.4710419702072985,1.0,1.4710419702072985,Sideways,32400.0,0,Sunday,Asia,2022,1,99889.87328747653,1448.119514212836,1558.246226736304
11,12,2022-01-02 09:00:00,2022-01-02 12:00:00,197.2778640847289,200.3537992476739,1,0.015591892061564083,1557.4721223416477,1,0.0,1.5591892061564083,1.0,1.5591892061564083,Sideways,10800.0,9,Sunday,London,2022,1,101447.34540981818,3005.5916365544836,1558.246226736304
12,21,2022-01-02 12:00:00,2022-01-03 15:00:00,200.3537992476739,196.8854722240459,-1,0.017311012003024207,1756.1562140643052,9,-0.12602055816823832,1.7311012003024207,1.0,13.736657141221265,Sideways,97200.0,12,Sunday,London,2022,1,103203.50162388249,4761.747850618789,1558.246226736304
21,30,2022-01-03 15:00:00,2022-01-04 18:00:00,196.8854722240459,200.7367001145049,1,0.019560751979081914,2018.7380986375429,9,-0.2248922097324857,1.9560751979081914,1.0,8.697834399132752,Sideways,97200.0,15,Monday,NY_overlap,2022,1,105222.23972252003,6780.485949256332,1558.246226736304
30,112,2022-01-04 18:00:00,2022-01-15 00:00:00,200.7367001145049,211.193396295321,-1,-0.052091601460277914,-5481.194976383337,82,-11.67886956993196,-0.0,0.0,-0.0,Sideways,885600.0,18,Tuesday,NY,2022,1,99741.04474613669,6780.485949256332,7039.441203119641
112,114,2022-01-15 00:00:00,2022-01-15 06:00:00,211.193396295321,215.4005545701456,1,0.019920879860000573,1986.9293694987302,2,0.0,1.9920879860000573,1.0,1.9920879860000573,Sideways,21600.0,0,Saturday,Asia,2022,1,101727.97411563541,8767.415318755062,7039.441203119641
114,156,2022-01-15 06:00:00,2022-01-20 12:00:00,215.4005545701456,214.0146540727194,-1,0.006434061881557929,654.5240805455214,42,-3.881445300735309,0.6434061881557929,1.0,0.16576458981243525,Sideways,453600.0,6,Saturday,Asia,2022,1,102382.49819618094,9421.939399300583,7039.441203119641
156,183,2022-01-20 12:00:00,2022-01-23 21:00:00,214.0146540727194,221.4338237579154,1,0.03466664335366065,3549.25755062381,27,-2.2950195183514266,3.4666643353660653,1.0,1.5105162756333603,Sideways,291600.0,12,Thursday,London,2022,1,105931.75574680475,12971.196949924393,7039.441203119641
183,201,2022-01-23 21:00:00,2022-01-26 03:00:00,221.4338237579154,214.7548021281548,-1,0.030162608026235826,3195.178026121826,18,-1.3250239957661059,3.8722156856137557,0.7789495853316595,2.9223740083098706,Sideways,194400.0,21,Sunday,Late,2022,1,109126.93377292658,16166.37497604622,7039.441203119641
201,231,2022-01-26 03:00:00,2022-01-29 21:00:00,214.7548021281548,217.9175274321597,1,0.014727145901573424,1607.12827546523,30,-3.802890523824065,1.4727145901573424,1.0,0.38726189484845536,Sideways,324000.0,3,Wednesday,Asia,2022,1,110734.0620483918,17773.50325151145,7039.441203119641
231,255,2022-01-29 21:00:00,2022-02-01 21:00:00,217.9175274321597,211.2744526527579,-1,0.03048435276262873,3375.656210321994,24,-1.8056269486521614,3.048435276262873,1.0,1.6882973963910017,Sideways,259200.0,21,Saturday,Late,2022,1,114109.71825871381,21149.159461833446,7039.441203119641
255,265,2022-02-01 21:00:00,2022-02-03 03:00:00,211.2744526527579,218.2382355958557,1,0.03296083769552216,3761.151903007227,10,-2.578411016155102,3.296083769552216,1.0,1.2783391588464819,Sideways,108000.0,21,Tuesday,Late,2022,2,117870.87016172103,24910.311364840672,7039.441203119641
265,363,2022-02-03 03:00:00,2022-02-15 09:00:00,218.2382355958557,229.0165339256093,-1,-0.049387763332697565,-5821.3786393662,98,-11.804718124307634,1.4419639122029593,-3.4250346291430724,0.12215149036331038,Bullish,1058400.0,3,Thursday,Asia,2022,2,112049.49152235483,24910.311364840672,12860.819842485842
363,396,2022-02-15 09:00:00,2022-02-19 12:00:00,229.0165339256093,229.6749356542884,1,0.0028749091491051537,322.1321083301982,33,-4.862414826531514,0.5866734893797299,0.4900356333034067,0.1206547590671566,Bearish,356400.0,9,Tuesday,London,2022,2,112371.62363068503,25232.44347317087,12860.819842485842
396,422,2022-02-19 12:00:00,2022-02-22 18:00:00,229.6749356542884,225.9380985318422,-1,0.016270112852326934,1828.2989978704534,26,-3.0803891705315056,1.6270112852326934,1.0,0.528183679126479,Sideways,280800.0,12,Saturday,London,2022,2,114199.92262855548,27060.742471041325,12860.819842485842
