entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,3,2022-01-01 00:30:00,2022-01-01 01:30:00,793.8548819806736,767.1634913558587,-1,0.033622506116255946,3362.2506116255945,2,-0.0,3.3622506116255946,1.0,3.3622506116255946,Sideways,3600.0,0,Saturday,Asia,2022,1,103362.2506116256,3362.2506116255945,-0.0
3,61,2022-01-01 01:30:00,2022-01-02 06:30:00,767.1634913558587,787.6849194100757,1,0.02674974537428554,2764.9138851740745,58,-7.506899872620442,2.674974537428554,1.0,0.3563354490959525,Sideways,104400.0,1,Saturday,Asia,2022,1,106127.16449679967,6127.164496799669,-0.0
61,126,2022-01-02 06:30:00,2022-01-03 15:00:00,787.6849194100757,763.7769066249431,-1,0.03035225404980224,3221.1986583920166,65,-11.016152532720259,3.035225404980224,1.0,0.2755249980394675,Bullish,117000.0,6,Sunday,Asia,2022,1,109348.36315519169,9348.363155191686,-0.0
126,174,2022-01-03 15:00:00,2022-01-04 15:00:00,763.7769066249431,824.8230357133141,1,0.07992664946905514,8739.84829191995,48,-6.502585978741826,7.992664946905514,1.0,1.2291517517853723,Bearish,86400.0,15,Monday,NY_overlap,2022,1,118088.21144711164,18088.211447111637,-0.0
174,186,2022-01-04 15:00:00,2022-01-04 21:00:00,824.8230357133141,757.7016881131294,-1,0.08137666468315541,9609.624785965158,12,-0.0,8.13766646831554,1.0,8.13766646831554,Bullish,21600.0,15,Tuesday,NY_overlap,2022,1,127697.83623307678,27697.836233076792,-0.0
186,190,2022-01-04 21:00:00,2022-01-04 23:00:00,757.7016881131294,804.0077819263242,1,0.061113884975640964,7804.110875186492,4,0.0,6.111388497564096,1.0,6.111388497564096,Bullish,7200.0,21,Tuesday,Late,2022,1,135501.94710826327,35501.94710826328,-0.0
190,384,2022-01-04 23:00:00,2022-01-09 00:00:00,804.0077819263242,1305.642932331305,-1,-0.6239182775110856,-84542.14143918587,194,-88.88396272421772,-0.0,0.0,-0.0,Bullish,349200.0,23,Tuesday,Late,2022,1,50959.80566907741,35501.94710826328,84542.14143918587
384,395,2022-01-09 00:00:00,2022-01-09 05:30:00,1305.642932331305,1423.298172845452,1,0.09011287665308787,4592.134682522902,11,0.0,9.011287665308787,1.0,9.011287665308787,Bearish,19800.0,0,Sunday,Asia,2022,1,55551.940351600315,40094.081790786186,84542.14143918587
395,466,2022-01-09 05:30:00,2022-01-10 17:00:00,1423.298172845452,1402.826820742,-1,0.014383038279692006,799.0056845882345,71,-9.633530063460881,1.4383038279692006,1.0,0.14930184662261642,Sideways,127800.0,5,Sunday,Asia,2022,1,56350.94603618855,40893.08747537442,84542.14143918587
466,478,2022-01-10 17:00:00,2022-01-10 23:00:00,1402.826820742,1525.367928446895,1,0.08735298320007812,4922.423242407688,12,-1.3108631785205382,8.73529832000781,1.0,6.663775795324888,Bearish,21600.0,17,Monday,NY,2022,1,61273.36927859624,45815.51071778211,84542.14143918587
478,491,2022-01-10 23:00:00,2022-01-11 05:30:00,1525.367928446895,1393.651179746603,-1,0.0863508051033981,5291.0047686046055,13,-1.930468527532847,8.63508051033981,1.0,4.4730491003526,Sideways,23400.0,23,Monday,Late,2022,1,66564.37404720085,51106.51548638672,84542.14143918587
491,498,2022-01-11 05:30:00,2022-01-11 09:00:00,1393.651179746603,1497.841027254432,1,0.07476034822915523,4976.375783424479,7,0.0,7.476034822915523,1.0,7.476034822915523,Bearish,12600.0,5,Tuesday,Asia,2022,1,71540.74983062533,56082.891269811196,84542.14143918587
498,550,2022-01-11 09:00:00,2022-01-12 11:00:00,1497.841027254432,1460.322116750796,-1,0.02504865991847527,1791.9999128200513,52,-4.383724078195628,4.172762875967018,0.6002895602513805,0.9518762589831057,Bullish,93600.0,9,Tuesday,London,2022,1,73332.74974344538,57874.89118263125,84542.14143918587
550,586,2022-01-12 11:00:00,2022-01-13 05:00:00,1460.322116750796,1542.349389401076,1,0.05617067064134451,4119.149733063213,36,-4.644036253443684,7.343196803488561,0.7649348389336276,1.5812100515028007,Sideways,64800.0,11,Wednesday,London,2022,1,77451.8994765086,61994.04091569446,84542.14143918587
586,606,2022-01-13 05:00:00,2022-01-13 15:00:00,1542.349389401076,1418.033040580506,-1,0.08060193732682353,6242.773147448983,20,-0.3042057195086656,8.060193732682352,1.0,26.495865185245965,Sideways,36000.0,5,Thursday,Asia,2022,1,83694.67262395758,68236.81406314344,84542.14143918587
606,630,2022-01-13 15:00:00,2022-01-14 03:00:00,1418.033040580506,1511.631240888372,1,0.06600565546029125,5524.321725078815,24,-0.7680817179907318,6.761018864806756,0.9762678788528691,8.802473365064964,Sideways,43200.0,15,Thursday,NY_overlap,2022,1,89218.9943490364,73761.13578822225,84542.14143918587
630,659,2022-01-14 03:00:00,2022-01-14 17:30:00,1511.631240888372,1387.621774393381,-1,0.08203685074814404,7319.2453233114065,29,-3.8439052635241167,8.203685074814404,1.0,2.134205843380545,Bullish,52200.0,3,Friday,Asia,2022,1,96538.2396723478,81080.38111153366,84542.14143918587
659,840,2022-01-14 17:30:00,2022-01-18 12:00:00,1387.621774393381,1116.29200973051,1,-0.19553582227512012,-18876.684075325153,181,-25.43820235739713,4.633134746957945,-4.220378490038658,0.18213294641909647,Sideways,325800.0,17,Friday,NY,2022,1,77661.55559702264,81080.38111153366,103418.82551451103
840,842,2022-01-18 12:00:00,2022-01-18 13:00:00,1116.29200973051,1096.207995660523,-1,0.017991720710099468,1397.265018213494,2,-0.0,1.7991720710099468,1.0,1.7991720710099468,Bullish,3600.0,12,Tuesday,London,2022,1,79058.82061523614,82477.64612974715,103418.82551451103
842,843,2022-01-18 13:00:00,2022-01-18 13:30:00,1096.207995660523,1126.504706543763,1,0.027637739373525205,2185.0070793421787,1,0.0,2.7637739373525205,1.0,2.7637739373525205,Bullish,1800.0,13,Tuesday,NY_overlap,2022,1,81243.82769457831,84662.65320908933,103418.82551451103
843,852,2022-01-18 13:30:00,2022-01-18 18:00:00,1126.504706543763,1091.418392024233,-1,0.031146176590045926,2530.434604226601,9,-0.19308517674012649,3.1146176590045926,1.0,16.130796323099204,Bullish,16200.0,13,Tuesday,NY_overlap,2022,1,83774.26229880491,87193.08781331593,103418.82551451103
852,856,2022-01-18 18:00:00,2022-01-18 20:00:00,1091.418392024233,1122.618715694554,1,0.02858695061245431,2394.85069893073,4,0.0,2.858695061245431,1.0,2.858695061245431,Sideways,7200.0,18,Tuesday,NY,2022,1,86169.11299773565,89587.93851224666,103418.82551451103
856,857,2022-01-18 20:00:00,2022-01-18 20:30:00,1122.618715694554,1098.028690029903,-1,0.02190416507481574,1887.462475452853,1,-0.0,2.190416507481574,1.0,2.190416507481574,Sideways,1800.0,20,Tuesday,NY,2022,1,88056.5754731885,91475.40098769951,103418.82551451103
857,858,2022-01-18 20:30:00,2022-01-18 21:00:00,1098.028690029903,1115.027866927368,1,0.01548154164988369,1363.2515407342948,1,0.0,1.548154164988369,1.0,1.548154164988369,Sideways,1800.0,20,Tuesday,NY,2022,1,89419.8270139228,92838.65252843381,103418.82551451103
858,876,2022-01-18 21:00:00,2022-01-19 06:00:00,1115.027866927368,1041.621955177388,-1,0.06583325307578314,5886.798101800331,18,-4.440859440108547,6.583325307578313,1.0,1.4824439720202895,Sideways,32400.0,21,Tuesday,Late,2022,1,95306.62511572312,98725.45063023415,103418.82551451103
876,1032,2022-01-19 06:00:00,2022-01-22 12:00:00,1041.621955177388,944.7043889911656,1,-0.09304485730594769,-8867.791334203912,156,-18.788958563361746,4.034895026487373,-2.3060044113947877,0.21474819974085058,Bearish,280800.0,6,Wednesday,Asia,2022,1,86438.8337815192,98725.45063023415,112286.61684871494
1032,1053,2022-01-22 12:00:00,2022-01-22 22:30:00,944.7043889911656,903.0803397216492,-1,0.04406039577519694,3808.529226760201,21,-0.0,5.282752912134803,0.8340423356539646,5.282752912134803,Sideways,37800.0,12,Saturday,London,2022,1,90247.36300827941,102533.97985699435,112286.61684871494
1053,1069,2022-01-22 22:30:00,2022-01-23 06:30:00,903.0803397216492,942.5590052801065,1,0.04371556308116009,3945.214290496794,16,-2.5384952369057023,4.371556308116009,1.0,1.7221053813930791,Sideways,28800.0,22,Saturday,Late,2022,1,94192.5772987762,106479.19414749114,112286.61684871494
1069,1082,2022-01-23 06:30:00,2022-01-23 13:00:00,942.5590052801065,887.0827389980088,-1,0.05885707522958883,5543.899608142934,13,-0.33748770330270794,5.885707522958883,1.0,17.439768813383186,Bullish,23400.0,6,Sunday,Asia,2022,1,99736.47690691914,112023.09375563408,112286.61684871494
1082,1094,2022-01-23 13:00:00,2022-01-23 19:00:00,887.0827389980088,940.6611573103215,1,0.060398445327469075,6023.92814761694,12,-0.9156603580407929,6.0398445327469075,1.0,6.596162517803169,Bearish,21600.0,13,Sunday,NY_overlap,2022,1,105760.40505453608,118047.02190325102,112286.61684871494
1094,1132,2022-01-23 19:00:00,2022-01-24 14:00:00,940.6611573103215,899.3557776669458,-1,0.043911008041920496,4644.0459968665045,38,-3.4022772100652077,5.878403068223936,0.7469887235069692,1.7277848644529679,Sideways,68400.0,19,Sunday,NY,2022,1,110404.45105140259,122691.06790011753,112286.61684871494
1132,1141,2022-01-24 14:00:00,2022-01-24 18:30:00,899.3557776669458,943.3321613498597,1,0.04889764960091192,5398.518161892517,9,0.0,4.889764960091192,1.0,4.889764960091192,Sideways,16200.0,14,Monday,NY_overlap,2022,1,115802.9692132951,128089.58606201004,112286.61684871494
1141,1145,2022-01-24 18:30:00,2022-01-24 20:30:00,943.3321613498597,879.5010353557581,-1,0.06766558865412009,7835.876079712562,4,-0.0,6.766558865412009,1.0,6.766558865412009,Sideways,7200.0,18,Monday,NY,2022,1,123638.84529300766,135925.46214172262,112286.61684871494
1145,1280,2022-01-24 20:30:00,2022-01-27 16:00:00,879.5010353557581,878.0528499661192,1,-0.0016465988457342595,-203.58357994738316,135,-9.11141661730518,6.015994813303038,-0.027370350155441814,0.6602699740320235,Bearish,243000.0,20,Monday,NY,2022,1,123435.26171306029,135925.46214172262,112490.20042866233
1280,1334,2022-01-27 16:00:00,2022-01-28 19:00:00,878.0528499661192,833.4771054421067,-1,0.05076658486528751,6266.386689125051,54,-6.642769781075142,5.244391209607302,0.9680167408618796,0.789488629358835,Sideways,97200.0,16,Thursday,NY,2022,1,129701.64840218532,142191.84883084765,112490.20042866233
1334,1415,2022-01-28 19:00:00,2022-01-30 11:30:00,833.4771054421067,802.6477930631063,1,-0.03698879330662286,-4797.507464276706,81,-15.478169404237995,3.433148130999286,-1.0774016120258851,0.22180582479341995,Bearish,145800.0,19,Friday,NY,2022,1,124904.14093790863,142191.84883084765,117287.70789293903
1415,1455,2022-01-30 11:30:00,2022-01-31 07:30:00,802.6477930631063,766.5952636361837,-1,0.04491699813854466,5610.319066004564,40,-3.146122247917127,4.491699813854466,1.0,1.4276939864076075,Bullish,72000.0,11,Sunday,London,2022,1,130514.46000391319,147802.16789685222,117287.70789293903
1455,1542,2022-01-31 07:30:00,2022-02-02 03:00:00,766.5952636361837,715.0718349227612,1,-0.0672107318652504,-8771.97237586096,87,-19.517138027441828,0.0,0.0,0.0,Sideways,156600.0,7,Monday,Asia,2022,1,121742.48762805223,147802.16789685222,126059.68026879999
1542,1549,2022-02-02 03:00:00,2022-02-02 06:30:00,715.0718349227612,663.3734582702318,-1,0.07229815820967644,8801.7576313725,7,-1.2280494267574493,7.844938375291766,0.9215898806469282,6.388129178159871,Bullish,12600.0,3,Wednesday,Asia,2022,2,130544.24525942473,156603.92552822473,126059.68026879999
1549,1568,2022-02-02 06:30:00,2022-02-02 16:00:00,663.3734582702318,701.9000620378627,1,0.058076794130549336,7581.591256859554,19,-4.724408964498849,5.925855383955847,0.9800575675166031,1.2543061848551131,Sideways,34200.0,6,Wednesday,Asia,2022,2,138125.83651628427,164185.5167850843,126059.68026879999
