entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,47,2022-01-01 00:15:00,2022-01-01 11:45:00,480.40584829574,499.7120888045078,-1,-0.04018735528981909,-4018.7355289819093,46,-4.018735528981909,8.716691529354003,-0.4610390898253731,2.169013478615811,Sideways,41400.0,0,Saturday,Asia,2022,1,95981.26447101809,0.0,4018.7355289819093
47,132,2022-01-01 11:45:00,2022-01-02 09:00:00,499.7120888045078,460.8536274868188,-1,0.07776169956314738,7463.6662514863,85,-13.132824312295854,8.14407714070603,0.9548251842369709,0.6201314315216251,Sideways,76500.0,11,Saturday,London,2022,1,103444.93072250439,7463.6662514863,4018.7355289819093
132,184,2022-01-02 09:00:00,2022-01-02 22:00:00,460.8536274868188,504.3254676729143,1,0.09432895304125344,9757.852012478832,52,-3.7016231888097773,9.596591035423208,0.9829423041272025,2.5925359081481503,Sideways,46800.0,9,Sunday,London,2022,1,113202.78273498322,17221.518263965132,4018.7355289819093
184,270,2022-01-02 22:00:00,2022-01-03 19:30:00,504.3254676729143,481.5089376488733,-1,0.04524167722348471,5121.483757296379,86,-11.769349689356567,4.524167722348471,1.0,0.384402523653438,Bullish,77400.0,22,Sunday,Late,2022,1,118324.2664922796,22343.002021261513,4018.7355289819093
270,295,2022-01-03 19:30:00,2022-01-04 01:45:00,481.5089376488733,568.6983491472787,1,0.181075375099238,21425.610938431724,25,-0.2597147755815321,18.107537509923798,1.0,69.7208600064393,Bearish,22500.0,19,Monday,NY,2022,1,139749.87743071132,43768.61295969324,4018.7355289819093
295,529,2022-01-04 01:45:00,2022-01-06 12:15:00,568.6983491472787,709.613576476269,-1,-0.24778553962796335,-34627.99879211054,234,-54.58322697134299,12.67374107124727,-1.955109688883504,0.23219112856594523,Bullish,210600.0,1,Tuesday,Asia,2022,1,105121.87863860079,43768.61295969324,38646.73432109245
529,820,2022-01-06 12:15:00,2022-01-09 13:00:00,709.613576476269,526.068215403437,1,-0.2586553684390651,-27190.338250273973,291,-38.133717468438476,6.608953083476132,-3.9137116752388765,0.17330996090129577,Bearish,261900.0,12,Thursday,London,2022,1,77931.54038832682,43768.61295969324,65837.07257136643
820,874,2022-01-09 13:00:00,2022-01-10 02:30:00,526.068215403437,489.8039528326263,-1,0.06893452504633824,5372.173722798834,54,-11.77556902665824,6.8934525046338235,1.0,0.5854029209992326,Bullish,48600.0,13,Sunday,NY_overlap,2022,1,83303.71411112565,49140.78668249207,65837.07257136643
874,886,2022-01-10 02:30:00,2022-01-10 05:30:00,489.8039528326263,532.8379603648114,1,0.08785965748808566,7319.035789288908,12,0.0,10.295849529625523,0.8533502479351139,10.295849529625523,Bearish,10800.0,2,Monday,Asia,2022,1,90622.74990041455,56459.82247178098,65837.07257136643
886,1124,2022-01-10 05:30:00,2022-01-12 17:00:00,532.8379603648114,767.7685067050153,-1,-0.44090429701997413,-39955.959838859206,238,-71.72742682277703,0.7184582921794025,-61.36811305810334,0.010016507269312164,Bearish,214200.0,5,Monday,Asia,2022,1,50666.79006155535,56459.82247178098,105793.03241022563
