entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,20,2022-01-01 01:00:00,2022-01-01 20:00:00,484.6087637803158,520.922433023112,1,0.0749339920300287,7493.39920300287,19,-5.478590253720183,7.493399203002871,1.0,1.3677604741319267,Sideways,68400.0,1,Saturday,Asia,2022,1,107493.39920300287,7493.39920300287,-0.0
20,49,2022-01-01 20:00:00,2022-01-03 01:00:00,520.922433023112,456.7518871605939,-1,0.12318637438996805,13241.722118671405,29,-0.0,12.318637438996804,1.0,12.318637438996804,Bullish,104400.0,20,Saturday,NY,2022,1,120735.12132167428,20735.121321674276,-0.0
49,116,2022-01-03 01:00:00,2022-01-05 20:00:00,456.7518871605939,488.0574016677759,1,0.06853943111607763,8275.11653111817,67,-5.608008094353156,6.853943111607763,1.0,1.2221706881110193,Bearish,241200.0,1,Monday,Asia,2022,1,129010.23785279244,29010.237852792445,-0.0
116,130,2022-01-05 20:00:00,2022-01-06 10:00:00,488.0574016677759,451.0851377501103,-1,0.0757539252377385,9773.0319132033,14,-1.2018271537902692,8.749385771882434,0.8658199239675314,7.280069970368874,Bullish,50400.0,20,Wednesday,NY,2022,1,138783.26976599573,38783.26976599575,-0.0
130,132,2022-01-06 10:00:00,2022-01-06 12:00:00,451.0851377501103,471.2493976155372,1,0.04470167198591546,6203.844202212359,2,0.0,4.470167198591546,1.0,4.470167198591546,Sideways,7200.0,10,Thursday,London,2022,1,144987.1139682081,44987.113968208105,-0.0
132,482,2022-01-06 12:00:00,2022-01-21 02:00:00,471.2493976155372,571.7037948944504,-1,-0.21316610225328647,-30906.337961555942,350,-38.04531340416373,4.031705100010441,-5.2872444031864925,0.10597113650190634,Sideways,1260000.0,12,Thursday,London,2022,1,114080.77600665216,44987.113968208105,30906.337961555942
482,590,2022-01-21 02:00:00,2022-01-25 14:00:00,571.7037948944504,632.1627220614404,1,0.10575218794577368,12064.291665255187,108,-10.68530375554152,10.575218794577367,1.0,0.9896975356543269,Bearish,388800.0,2,Friday,Asia,2022,1,126145.06767190735,57051.40563346329,30906.337961555942
590,864,2022-01-25 14:00:00,2022-02-06 00:00:00,632.1627220614404,805.5048897619059,-1,-0.2742049818046979,-34589.605985727736,274,-49.362298661838636,1.7898511375275095,-15.319988129486743,0.03625947709179963,Bullish,986400.0,14,Tuesday,NY_overlap,2022,1,91555.46168617961,57051.40563346329,65495.94394728368
864,894,2022-02-06 00:00:00,2022-02-07 06:00:00,805.5048897619059,913.3632932603102,1,0.13390161235431552,12259.423939623208,30,-3.5367317031631207,13.477453323517974,0.9935231021773158,3.8107084321562317,Bearish,108000.0,0,Sunday,Asia,2022,2,103814.88562580282,69310.82957308649,65495.94394728368
894,1095,2022-02-07 06:00:00,2022-02-15 15:00:00,913.3632932603102,1038.394514326075,-1,-0.13689100710349078,-14211.324245649854,201,-31.6361012198723,2.064626941069203,-6.6303022778826755,0.06526173774448231,Sideways,723600.0,6,Monday,Asia,2022,2,89603.56138015297,69310.82957308649,79707.26819293354
1095,1103,2022-02-15 15:00:00,2022-02-15 23:00:00,1038.394514326075,1130.293875325561,1,0.08850139299814108,7930.039999737972,8,0.0,8.850139299814108,1.0,8.850139299814108,Bearish,28800.0,15,Tuesday,NY_overlap,2022,2,97533.60137989094,77240.86957282446,79707.26819293354
1103,1203,2022-02-15 23:00:00,2022-02-20 03:00:00,1130.293875325561,1165.631601652274,-1,-0.03126419340858111,-3049.3093773763626,100,-26.29250970845691,0.1626401905675534,-19.22291980812416,0.00618579939195537,Bullish,360000.0,23,Tuesday,Late,2022,2,94484.29200251457,77240.86957282446,82756.5775703099
1203,1239,2022-02-20 03:00:00,2022-02-21 15:00:00,1165.631601652274,1255.774113212223,1,0.07733362018683487,7306.81235134446,36,-4.5027440615602154,8.254011042977737,0.936921695211784,1.8331068633107463,Bearish,129600.0,3,Sunday,Asia,2022,2,101791.10435385903,84547.68192416892,82756.5775703099
1239,1270,2022-02-21 15:00:00,2022-02-22 22:00:00,1255.774113212223,1141.101560305474,-1,0.09131622614310853,9295.179504533748,31,-6.5449238459942105,9.131622614310853,1.0,1.395222133852607,Sideways,111600.0,15,Monday,NY_overlap,2022,2,111086.28385839278,93842.86142870267,82756.5775703099
1270,1410,2022-02-22 22:00:00,2022-02-28 18:00:00,1141.101560305474,1165.883722746725,1,0.021717753531610873,2412.544533579137,140,-14.445680158951902,4.460069483418327,0.48693756033069135,0.3087476279650598,Bearish,504000.0,22,Tuesday,Late,2022,2,113498.82839197193,96255.4059622818,82756.5775703099
1410,1427,2022-02-28 18:00:00,2022-03-01 11:00:00,1165.883722746725,1036.374329573192,-1,0.11108259824437694,12607.744755472895,17,-0.0,11.108259824437694,1.0,11.108259824437694,Bullish,61200.0,18,Monday,NY,2022,2,126106.57314744481,108863.1507177547,82756.5775703099
1427,1495,2022-03-01 11:00:00,2022-03-04 07:00:00,1036.374329573192,1155.824928205383,1,0.11525816032261638,14534.81162556394,68,-4.995848375954937,11.525816032261638,1.0,2.3070788312422557,Sideways,244800.0,11,Tuesday,London,2022,3,140641.38477300876,123397.96234331865,82756.5775703099
1495,1699,2022-03-04 07:00:00,2022-03-12 19:00:00,1155.824928205383,1311.172118060891,-1,-0.13440373716174414,-18902.72771309519,204,-33.59901954370941,1.6234265638414902,-8.279015519107102,0.048317676702725,Bullish,734400.0,7,Friday,Asia,2022,3,121738.65705991356,123397.96234331865,101659.30528340509
1699,1786,2022-03-12 19:00:00,2022-03-16 10:00:00,1311.172118060891,1323.949633205678,1,0.009745108951587422,1186.3564766687946,87,-17.182798107282604,1.2923161512139458,0.7540808758316059,0.07520987810863133,Bearish,313200.0,19,Saturday,NY,2022,3,122925.01353658237,124584.31881998744,101659.30528340509
