entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,60,2022-01-01 04:00:00,2022-01-11 00:00:00,1676.865907058526,1726.013703085828,1,0.02930931794869296,2930.931794869296,59,-0.8984169788584184,11.949838739923347,0.24526956879152803,13.30099388271526,Sideways,849600.0,4,Saturday,Asia,2022,1,102930.93179486929,2930.931794869296,-0.0
60,151,2022-01-11 00:00:00,2022-01-26 04:00:00,1726.013703085828,1522.630756467521,1,-0.11783391189461112,-12128.754348346854,91,-20.577202807915597,1.096548789110785,-10.745888652174353,0.053289497087960214,Sideways,1310400.0,0,Tuesday,Asia,2022,1,90802.17744652244,2930.931794869296,12128.754348346854
151,157,2022-01-26 04:00:00,2022-01-27 04:00:00,1522.630756467521,1408.425060774909,-1,0.07500550951536489,6810.663584480989,6,-0.0,7.500550951536489,1.0,7.500550951536489,Sideways,86400.0,4,Wednesday,Asia,2022,1,97612.84103100342,9741.595379350285,12128.754348346854
157,178,2022-01-27 04:00:00,2022-01-30 16:00:00,1408.425060774909,1491.34849119376,1,0.058876707556756225,5747.122695166523,21,-2.277253757245945,5.8876707556756225,1.0,2.585425860838639,Bearish,302400.0,4,Thursday,Asia,2022,1,103359.96372616995,15488.718074516808,12128.754348346854
178,194,2022-01-30 16:00:00,2022-02-02 08:00:00,1491.34849119376,1370.6894758509,-1,0.08090598277688787,8362.439445049262,16,-1.067309514168735,8.090598277688787,1.0,7.580367428833502,Bullish,230400.0,16,Sunday,NY,2022,1,111722.40317121922,23851.15751956607,12128.754348346854
194,312,2022-02-02 08:00:00,2022-02-22 00:00:00,1370.6894758509,1151.965420648424,1,-0.15957228756476438,-17827.799446264336,118,-23.640467585726977,5.423339302829544,-2.942325358133318,0.22940913851060651,Bearish,1699200.0,8,Wednesday,London,2022,2,93894.60372495488,23851.15751956607,29956.55379461119
312,332,2022-02-22 00:00:00,2022-02-25 08:00:00,1151.965420648424,1123.359263332956,-1,0.024832479172305355,2331.635791391807,20,-3.3010862649577533,2.796608920212218,0.8879496519098912,0.8471783818251742,Bearish,288000.0,0,Tuesday,Asia,2022,2,96226.23951634669,26182.793310957877,29956.55379461119
332,353,2022-02-25 08:00:00,2022-02-28 20:00:00,1123.359263332956,1174.816831568028,1,0.04580686688103652,4407.822543988029,21,-1.1600974818879006,4.580686688103652,1.0,3.948536014964198,Sideways,302400.0,8,Friday,London,2022,2,100634.06206033472,30590.615854945907,29956.55379461119
353,422,2022-02-28 20:00:00,2022-03-12 08:00:00,1174.816831568028,1233.646639375989,-1,-0.05007572774509961,-5039.323893616779,69,-16.71385665107259,-0.0,0.0,-0.0,Bullish,993600.0,20,Monday,NY,2022,2,95594.73816671793,30590.615854945907,34995.87768822797
422,438,2022-03-12 08:00:00,2022-03-15 00:00:00,1233.646639375989,1301.406511651679,1,0.054926483899769396,5250.682846816904,16,-1.1342993609409269,6.034339266904087,0.9102319486910351,5.319882453163394,Sideways,230400.0,8,Saturday,London,2022,3,100845.42101353484,35841.29870176281,34995.87768822797
