entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,53,2022-01-01 00:05:00,2022-01-01 04:25:00,1675.206236540769,1764.704281952622,1,0.053425090869207104,5342.509086920711,52,-1.6039065569716238,5.34250908692071,1.0,3.3309353738213003,Sideways,15600.0,0,Saturday,Asia,2022,1,105342.5090869207,5342.509086920711,-0.0
53,114,2022-01-01 04:25:00,2022-01-01 09:30:00,1764.704281952622,1679.50765989572,-1,0.04827812961536715,5085.73930770635,61,-5.876730701740773,4.827812961536715,1.0,0.8215133901076404,Bullish,18300.0,4,Saturday,Asia,2022,1,110428.24839462707,10428.24839462706,-0.0
114,231,2022-01-01 09:30:00,2022-01-01 19:15:00,1679.50765989572,1735.098142333086,1,0.03309927293860482,3655.09473374581,117,-7.133180247446768,4.708929324980349,0.7029044322881814,0.6601444463240432,Bearish,35100.0,9,Saturday,London,2022,1,114083.34312837287,14083.343128372871,-0.0
231,294,2022-01-01 19:15:00,2022-01-02 00:30:00,1735.098142333086,1666.872346204521,-1,0.03932100119525561,4485.871271509505,63,-14.36208879848353,3.9554599534911916,0.9940942812617752,0.2754097965129447,Bullish,18900.0,19,Saturday,NY,2022,1,118569.21439988237,18569.214399882378,-0.0
294,320,2022-01-02 00:30:00,2022-01-02 02:40:00,1666.872346204521,1875.578590971506,1,0.12520829518961696,14845.849196981451,26,-1.7701483891580327,12.520829518961696,1.0,7.073321985687992,Bearish,7800.0,0,Sunday,Asia,2022,1,133415.06359686382,33415.06359686383,-0.0
320,627,2022-01-02 02:40:00,2022-01-03 04:15:00,1875.578590971506,2067.106492419367,-1,-0.10211670274432705,-13623.906390936432,307,-21.95862329075733,6.327070932149903,-1.6139648794743064,0.2881360478920848,Sideways,92100.0,2,Sunday,Asia,2022,1,119791.15720592739,33415.06359686383,13623.906390936432
627,838,2022-01-03 04:15:00,2022-01-03 21:50:00,2067.106492419367,1969.072185241304,1,-0.04742586196578702,-5681.198886370205,211,-15.00591281675735,3.362137853027658,-1.4105864791676905,0.22405420410500473,Sideways,63300.0,4,Monday,Asia,2022,1,114109.95831955719,33415.06359686383,19305.105277306637
838,936,2022-01-03 21:50:00,2022-01-04 06:00:00,1969.072185241304,2003.395368732701,-1,-0.017431145363109524,-1989.0672708465704,98,-13.99396770729302,3.0579768060137402,-0.5700221574221842,0.2185210706481809,Bullish,29400.0,21,Monday,Late,2022,1,112120.89104871062,33415.06359686383,21294.17254815321
936,1018,2022-01-04 06:00:00,2022-01-04 12:50:00,2003.395368732701,2101.703000874398,1,0.04907050983345562,5501.829286741561,82,-7.509981251910636,5.747529602509305,0.853766978634299,0.7653187684119797,Bearish,24600.0,6,Tuesday,Asia,2022,1,117622.72033545218,38916.89288360539,21294.17254815321
1018,1374,2022-01-04 12:50:00,2022-01-05 18:30:00,2101.703000874398,2603.898687100922,-1,-0.23894702820407487,-28105.5994734353,356,-39.85765575594531,1.7244613506655515,-13.856328418833735,0.04326549863405664,Bullish,106800.0,12,Tuesday,London,2022,1,89517.12086201688,38916.89288360539,49399.772021588506
1374,1394,2022-01-05 18:30:00,2022-01-05 20:10:00,2603.898687100922,2842.501911854922,1,0.09163306772878,8202.728398834577,20,-1.8258518665705048,9.163306772877998,1.0,5.018647427345476,Bearish,6000.0,18,Wednesday,NY,2022,1,97719.84926085145,47119.62128243997,49399.772021588506
1394,1599,2022-01-05 20:10:00,2022-01-06 13:15:00,2842.501911854922,2932.329159107556,-1,-0.031601472941144015,-3088.091172229469,205,-15.3734566791075,7.321972032302215,-0.4315978373275445,0.47627363091690117,Bullish,61500.0,20,Wednesday,NY,2022,1,94631.75808862198,47119.62128243997,52487.863193817975
1599,1679,2022-01-06 13:15:00,2022-01-06 19:55:00,2932.329159107556,2952.631238116991,1,0.0069235334465704845,655.1861422343412,80,-7.276364610993369,2.866479835611968,0.24153435027015885,0.3939439526272772,Bearish,24000.0,13,Thursday,NY_overlap,2022,1,95286.94423085633,47774.80742467431,52487.863193817975
