entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,8,2022-01-01 00:30:00,2022-01-01 04:00:00,465.853664769721,436.4117980204083,-1,0.06319981783091966,6319.981783091966,7,-0.0,6.319981783091966,1.0,6.319981783091966,Sideways,12600.0,0,Saturday,Asia,2022,1,106319.98178309196,6319.981783091966,-0.0
8,71,2022-01-01 04:00:00,2022-01-02 11:30:00,436.4117980204083,463.5583581863202,1,0.06220400156240147,6613.5283129499485,63,-3.3871126100182725,8.61639654682791,0.721925937650834,2.543876610816735,Bearish,113400.0,4,Saturday,Asia,2022,1,112933.51009604192,12933.510096041915,-0.0
71,74,2022-01-02 11:30:00,2022-01-02 13:00:00,463.5583581863202,447.0550185101407,-1,0.03560142835251445,4020.5942682822038,3,-0.0,3.5601428352514453,1.0,3.5601428352514453,Bullish,5400.0,11,Sunday,London,2022,1,116954.10436432411,16954.104364324117,-0.0
74,75,2022-01-02 13:00:00,2022-01-02 13:30:00,447.0550185101407,462.8414347375751,1,0.03531202105737319,4129.885796059235,1,0.0,3.531202105737319,1.0,3.531202105737319,Sideways,1800.0,13,Sunday,NY_overlap,2022,1,121083.99016038336,21083.990160383353,-0.0
75,90,2022-01-02 13:30:00,2022-01-02 21:00:00,462.8414347375751,449.4970281557187,-1,0.02883148650989409,3491.031428873241,15,-1.3323407804451293,4.5872878818571605,0.6285083311192077,3.443028952641206,Sideways,27000.0,13,Sunday,NY_overlap,2022,1,124575.02158925659,24575.021589256594,-0.0
90,228,2022-01-02 21:00:00,2022-01-05 18:00:00,449.4970281557187,484.1069025835407,1,0.07699689265983789,9591.889565404977,138,-14.3745256286128,7.699689265983789,1.0,0.5356482338907514,Sideways,248400.0,21,Sunday,Late,2022,1,134166.91115466156,34166.911154661575,-0.0
228,627,2022-01-05 18:00:00,2022-01-14 01:30:00,484.1069025835407,468.3511985095207,-1,0.032545919072701324,4366.585432673924,399,-17.3998407264627,10.700270222743002,0.3041597865774105,0.6149636879416605,Bullish,718200.0,18,Wednesday,NY,2022,1,138533.49658733548,38533.496587335496,-0.0
627,962,2022-01-14 01:30:00,2022-01-21 01:00:00,468.3511985095207,463.9873616031193,1,-0.009317445797702328,-1290.778345618679,335,-20.39043139027146,9.925462124711814,-0.09387417614041685,0.48677058051098326,Bearish,603000.0,1,Friday,Asia,2022,1,137242.71824171682,38533.496587335496,1290.778345618679
962,1007,2022-01-21 01:00:00,2022-01-21 23:30:00,463.9873616031193,416.0832803597718,-1,0.10324436656600844,14169.537510663222,45,-0.0,10.324436656600843,1.0,10.324436656600843,Bullish,81000.0,1,Friday,Asia,2022,1,151412.25575238004,52703.034097998716,1290.778345618679
1007,1461,2022-01-21 23:30:00,2022-01-31 10:30:00,416.0832803597718,385.5194306761215,1,-0.0734560871016563,-11122.151846805085,454,-24.17540955393801,4.00998828214687,-1.831827973879498,0.1658705418495659,Bearish,817200.0,23,Friday,Late,2022,1,140290.10390557494,52703.034097998716,12412.930192423764
1461,1729,2022-01-31 10:30:00,2022-02-06 00:30:00,385.5194306761215,368.9952699868314,-1,0.042862069650575485,6013.124204887224,268,-21.619501882159042,9.123593685060538,0.46979371429878714,0.4220075806922063,Bullish,482400.0,10,Monday,London,2022,1,146303.22811046217,58716.15830288594,12412.930192423764
1729,1766,2022-02-06 00:30:00,2022-02-06 19:00:00,368.9952699868314,415.8139849321678,1,0.12688161272909348,18563.189530127882,37,-2.9931093430391464,13.750564722868619,0.9227374677788772,4.594073636115999,Bearish,66600.0,0,Sunday,Asia,2022,2,164866.41764059005,77279.34783301382,12412.930192423764
1766,2282,2022-02-06 19:00:00,2022-02-17 13:00:00,415.8139849321678,456.7288708471399,-1,-0.09839708955831927,-16222.375661740405,516,-30.659981666484313,8.340234825599136,-1.17978799896981,0.27202347725850695,Bullish,928800.0,19,Sunday,NY,2022,2,148644.04197884965,77279.34783301382,28635.30585416417
2282,2338,2022-02-17 13:00:00,2022-02-18 17:00:00,456.7288708471399,509.8958199360538,1,0.11640811974574738,17303.37343816583,56,-0.5323502162565941,14.02298568542406,0.8301236438310402,26.341654905358297,Sideways,100800.0,13,Thursday,NY_overlap,2022,2,165947.41541701547,94582.72127117965,28635.30585416417
2338,2395,2022-02-18 17:00:00,2022-02-19 21:30:00,509.8958199360538,441.6700026740136,-1,0.1338034449284099,22204.335859762585,57,-9.80618500646424,13.38034449284099,1.0,1.364480119844839,Bullish,102600.0,17,Friday,NY,2022,2,188151.75127677806,116787.05713094224,28635.30585416417
2395,2811,2022-02-19 21:30:00,2022-02-28 13:30:00,441.6700026740136,350.3399051371367,1,-0.20678356461596847,-38906.689817749255,416,-41.82176201273124,2.514835651543046,-8.222547842802006,0.0601322261548303,Bearish,748800.0,21,Saturday,Late,2022,2,149245.0614590288,116787.05713094224,67541.99567191342
2811,3121,2022-02-28 13:30:00,2022-03-07 00:30:00,350.3399051371367,347.1885021749752,-1,0.008995272636521223,1342.5000174783297,310,-22.46117822120912,2.431593876806726,0.3699331834284023,0.10825762802196533,Bullish,558000.0,13,Monday,NY_overlap,2022,2,150587.56147650714,118129.55714842057,67541.99567191342
3121,3205,2022-03-07 00:30:00,2022-03-08 18:30:00,347.1885021749752,385.8378613256083,1,0.11132096514865197,16763.552682946734,84,-2.8636073099123305,15.841707517498671,0.7027081204831448,5.532080974462824,Bearish,151200.0,0,Monday,Asia,2022,3,167351.11415945386,134893.1098313673,67541.99567191342
3205,3423,2022-03-08 18:30:00,2022-03-13 07:30:00,385.8378613256083,375.2441806331647,-1,0.02745630160826429,4594.842664841033,218,-12.252308541259115,2.745630160826429,1.0,0.22409084390754924,Bullish,392400.0,18,Tuesday,NY,2022,3,171945.9568242949,139487.95249620834,67541.99567191342
3423,3471,2022-03-13 07:30:00,2022-03-14 07:30:00,375.2441806331647,412.0772896323693,1,0.09815770876727403,16877.82115366941,48,0.0,9.815770876727402,1.0,9.815770876727402,Bearish,86400.0,7,Sunday,Asia,2022,3,188823.77797796432,156365.77364987775,67541.99567191342
3471,3523,2022-03-14 07:30:00,2022-03-15 09:30:00,412.0772896323693,375.8057872734525,-1,0.08802111465855367,16620.479411659675,52,-4.099950748823478,8.802111465855367,1.0,2.1468822444711613,Bullish,93600.0,7,Monday,Asia,2022,3,205444.257389624,172986.25306153743,67541.99567191342
3523,3551,2022-03-15 09:30:00,2022-03-15 23:30:00,375.8057872734525,409.441728918103,1,0.08950352225463609,18387.984663359395,28,-0.9871903470017984,9.37618661723314,0.9545834133690492,9.497850790082795,Bearish,50400.0,9,Tuesday,London,2022,3,223832.24205298338,191374.2377248968,67541.99567191342
3551,3827,2022-03-15 23:30:00,2022-03-21 17:30:00,409.441728918103,450.3174790259832,-1,-0.09983288761477493,-22345.819065438587,276,-39.61658559306689,2.1511632000785097,-4.640879297820425,0.05429956084996317,Bullish,496800.0,23,Tuesday,Late,2022,3,201486.4229875448,191374.2377248968,89887.814737352
3827,3999,2022-03-21 17:30:00,2022-03-25 07:30:00,450.3174790259832,442.9908201356669,1,-0.01626998558031434,-3278.181196636469,172,-11.512676532791556,7.236723564668446,-0.2248253016012469,0.6285874135398564,Bearish,309600.0,17,Monday,NY,2022,3,198208.24179090833,191374.2377248968,93165.99593398847
