entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,211,2022-01-01 03:00:00,2022-01-27 09:00:00,451.9279307236066,497.0489874650173,1,0.0998412659938166,9984.12659938166,210,-7.301746153282962,14.427645021950376,0.6920136019559465,1.9759170914841397,Sideways,2268000.0,3,Saturday,Asia,2022,1,109984.12659938166,9984.12659938166,-0.0
211,591,2022-01-27 09:00:00,2022-03-15 21:00:00,497.0489874650173,496.3794854891052,-1,0.001346953706367282,148.1435269646055,380,-20.726214782152574,6.680281202486704,0.02016312884951437,0.3223107196707775,Bullish,4104000.0,9,Thursday,London,2022,1,110132.27012634627,10132.270126346266,-0.0
591,661,2022-03-15 21:00:00,2022-03-24 15:00:00,496.3794854891052,548.7344873767572,1,0.10547374220363737,11616.062667607599,70,-4.089902699589665,12.664708489886145,0.8328161859222198,3.0965794103504662,Bearish,756000.0,21,Tuesday,Late,2022,3,121748.33279395386,21748.332793953865,-0.0
661,696,2022-03-24 15:00:00,2022-03-29 00:00:00,548.7344873767572,478.8560258053124,-1,0.12734475995030137,15504.012213995458,35,-0.0,12.734475995030136,1.0,12.734475995030136,Bullish,378000.0,15,Thursday,NY_overlap,2022,3,137252.34500794933,37252.34500794932,-0.0
696,724,2022-03-29 00:00:00,2022-04-01 12:00:00,478.8560258053124,557.7445810625386,1,0.1647437872887909,22611.471130877344,28,0.0,16.474378728879092,1.0,16.474378728879092,Bearish,302400.0,0,Tuesday,Asia,2022,3,159863.81613882666,59863.81613882666,-0.0
724,1051,2022-04-01 12:00:00,2022-05-12 09:00:00,557.7445810625386,502.7651825911478,-1,0.09857450944059665,15758.497253186575,327,-11.126951007624776,9.857450944059664,1.0,0.8859076432802496,Bullish,3531600.0,12,Friday,London,2022,4,175622.31339201325,75622.31339201324,-0.0
1051,1081,2022-05-12 09:00:00,2022-05-16 03:00:00,502.7651825911478,571.2613007776207,1,0.13623878613363427,23926.570794508585,30,0.0,13.623878613363427,1.0,13.623878613363427,Bearish,324000.0,9,Thursday,London,2022,5,199548.8841865218,99548.88418652183,-0.0
1081,2005,2022-05-16 03:00:00,2022-09-08 15:00:00,571.2613007776207,729.8142907266987,-1,-0.2775489775576434,-55384.58877873773,924,-74.52962018557588,10.665358548850346,-2.6023408053877506,0.1431022796345133,Bullish,9979200.0,3,Monday,Asia,2022,5,144164.2954077841,99548.88418652183,55384.58877873773
2005,2166,2022-09-08 15:00:00,2022-09-28 18:00:00,729.8142907266987,922.6867264625062,1,0.2642760469156591,38099.17009675048,161,-2.2574629807698865,30.065486663744956,0.8790013940946496,13.318263431053653,Bearish,1738800.0,15,Thursday,NY_overlap,2022,9,182263.46550453457,137648.0542832723,55384.58877873773
2166,2199,2022-09-28 18:00:00,2022-10-02 21:00:00,922.6867264625062,763.214048830312,-1,0.17283512708977333,31501.52922429875,33,-0.5856748450222327,18.653872843242702,0.926537499972196,31.850220308735622,Bullish,356400.0,18,Wednesday,NY,2022,9,213764.99472883332,169149.58350757105,55384.58877873773
2199,2434,2022-10-02 21:00:00,2022-11-01 06:00:00,763.214048830312,891.2818736959129,1,0.16780066491422074,35869.90825088313,235,-15.67098140070441,17.141301308079605,0.9789260564198087,1.0938243668203897,Bearish,2538000.0,21,Sunday,Late,2022,10,249634.90297971645,205019.49175845418,55384.58877873773
2434,2660,2022-11-01 06:00:00,2022-11-29 12:00:00,891.2818736959129,784.9390341142067,-1,0.11931448705529057,29785.060400122096,226,-14.463173589166578,13.856904192286956,0.8610472108315761,0.9580818557461179,Bullish,2440800.0,6,Tuesday,Asia,2022,11,279419.96337983856,234804.5521585763,55384.58877873773
2660,2701,2022-11-29 12:00:00,2022-12-04 15:00:00,784.9390341142067,958.9058115596557,1,0.22163094187533705,61928.10966264581,41,-1.9135797902820162,22.163094187533705,1.0,11.582006823069234,Bearish,442800.0,12,Tuesday,London,2022,11,341348.07304248435,296732.6618212221,55384.58877873773
2701,3196,2022-12-04 15:00:00,2023-02-04 12:00:00,958.9058115596557,928.9017374623014,-1,0.031289907450402055,10680.749613872416,495,-24.332886325032476,9.697979194816996,0.32264358194462495,0.39855441172386497,Bullish,5346000.0,15,Sunday,NY_overlap,2022,12,352028.8226563568,307413.41143509455,55384.58877873773
3196,3786,2023-02-04 12:00:00,2023-04-19 06:00:00,928.9017374623014,957.616971880834,1,0.030913102280312854,10882.303000394073,590,-18.651434248733644,7.60652059162934,0.4064026634507693,0.4078249688570621,Bearish,6372000.0,12,Saturday,London,2023,2,362911.12565675087,318295.7144354886,55384.58877873773
3786,3995,2023-04-19 06:00:00,2023-05-15 09:00:00,957.616971880834,851.223354558787,-1,0.11110247671684603,40320.32488856355,209,-1.7804228330021488,13.245085091892417,0.8388204073136087,7.439291861674541,Bullish,2257200.0,6,Wednesday,Asia,2023,4,403231.4505453144,358616.03932405217,55384.58877873773
3995,3999,2023-05-15 09:00:00,2023-05-15 21:00:00,851.223354558787,847.2133033155814,1,-0.004710927187006275,-1899.594003029898,4,-2.2682802622697062,0.4954259434111874,-0.9508842339926391,0.218414783945371,Bearish,43200.0,9,Monday,London,2023,5,401331.8565422845,358616.03932405217,57284.182781767624
