entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,10,2022-01-01 02:00:00,2022-01-01 20:00:00,1424.701778788964,1417.876731778644,-1,0.004790509222303063,479.0509222303063,9,-2.197680833451021,0.4790509222303063,1.0,0.21798020665177847,Sideways,64800.0,2,Saturday,Asia,2022,1,100479.05092223031,479.0509222303063,-0.0
10,13,2022-01-01 20:00:00,2022-01-02 02:00:00,1417.876731778644,1473.155155508621,1,0.03898676273545543,3917.352918188737,3,0.0,3.8986762735455427,1.0,3.8986762735455427,Sideways,21600.0,20,Saturday,NY,2022,1,104396.40384041905,4396.403840419043,-0.0
13,23,2022-01-02 02:00:00,2022-01-02 22:00:00,1473.155155508621,1442.910616714339,-1,0.020530450361041286,2143.305186916943,10,-3.5199554228777075,2.0530450361041286,1.0,0.5832588170749277,Bullish,72000.0,2,Sunday,Asia,2022,1,106539.70902733598,6539.709027335986,-0.0
23,105,2022-01-02 22:00:00,2022-01-09 18:00:00,1442.910616714339,1089.581560789153,1,-0.24487244866889535,-26088.63942999538,82,-29.31447619106168,0.0,0.0,0.0,Sideways,590400.0,22,Sunday,Late,2022,1,80451.06959734061,6539.709027335986,26088.63942999538
105,115,2022-01-09 18:00:00,2022-01-10 14:00:00,1089.581560789153,1046.989815096386,-1,0.03909000227749715,3144.832493787126,10,-1.142029393050925,3.909000227749715,1.0,3.422854307897315,Bearish,72000.0,18,Sunday,NY,2022,1,83595.90209112773,9684.541521123112,26088.63942999538
115,121,2022-01-10 14:00:00,2022-01-11 02:00:00,1046.989815096386,1082.989398744466,1,0.0343838909691454,2874.35238296869,6,0.0,3.4383890969145403,1.0,3.4383890969145403,Bearish,43200.0,14,Monday,NY_overlap,2022,1,86470.25447409642,12558.893904091801,26088.63942999538
121,147,2022-01-11 02:00:00,2022-01-13 06:00:00,1082.989398744466,1115.459510647652,-1,-0.02998192959305923,-2592.5450815362738,26,-7.6288284255472405,-0.0,0.0,-0.0,Bearish,187200.0,2,Tuesday,Asia,2022,1,83877.70939256015,12558.893904091801,28681.184511531654
147,151,2022-01-13 06:00:00,2022-01-13 14:00:00,1115.459510647652,1153.474638326217,1,0.03408023986141173,2858.572455124238,4,-0.019441718221047122,3.408023986141173,1.0,175.29438228621845,Bullish,28800.0,6,Thursday,Asia,2022,1,86736.28184768438,15417.46635921604,28681.184511531654
151,174,2022-01-13 14:00:00,2022-01-15 12:00:00,1153.474638326217,1185.332905027127,-1,-0.027619390702112723,-2395.6032563997624,23,-8.585786445662169,-0.0,0.0,-0.0,Bullish,165600.0,14,Thursday,NY_overlap,2022,1,84340.67859128462,15417.46635921604,31076.787767931415
174,227,2022-01-15 12:00:00,2022-01-19 22:00:00,1185.332905027127,1015.260213363242,1,-0.14348095032424069,-12101.280715268858,53,-19.095278135731952,1.334345826455663,-10.752905841910557,0.06987831321287614,Bullish,381600.0,12,Saturday,London,2022,1,72239.39787601576,15417.46635921604,43178.06848320027
227,236,2022-01-19 22:00:00,2022-01-20 16:00:00,1015.260213363242,1003.930934692495,-1,0.011158990100889055,806.1187257926457,9,-1.0210276592733214,1.6663916371802423,0.6696499101358645,1.6320729630049737,Bearish,64800.0,22,Wednesday,Late,2022,1,73045.51660180841,16223.585085008684,43178.06848320027
236,237,2022-01-20 16:00:00,2022-01-20 18:00:00,1003.930934692495,1017.951807190135,1,0.01396597316919479,1020.1517249908288,1,0.0,1.396597316919479,1.0,1.396597316919479,Bearish,7200.0,16,Thursday,NY,2022,1,74065.66832679923,17243.736809999515,43178.06848320027
237,247,2022-01-20 18:00:00,2022-01-21 14:00:00,1017.951807190135,1018.777946103522,-1,-0.0008115697693660273,-60.10945736192114,10,-4.6932045544667345,-0.0,0.0,-0.0,Bearish,72000.0,18,Thursday,NY,2022,1,74005.55886943731,17243.736809999515,43238.17794056219
247,283,2022-01-21 14:00:00,2022-01-24 14:00:00,1018.777946103522,938.2922193724734,1,-0.07900222716724392,-5846.603973442131,36,-14.158737105038776,0.07969568799397475,-99.12986405640508,0.005628728565460322,Bearish,259200.0,14,Friday,NY_overlap,2022,1,68158.9548959952,17243.736809999515,49084.78191400432
