entry_i,exit_i,entry_time,exit_time,entry_price,exit_price,direction,ret,pnl,hold_bars,mae_pct,mfe_pct,trade_efficiency_pct,edge_ratio,entry_regime,hold_sec,hour,weekday,session,year,month,equity,cum_profit,cum_loss
1,3,2022-01-01 00:30:00,2022-01-01 01:30:00,1455.053504680022,1433.182100642707,-1,0.01503134006204443,1503.134006204443,2,-0.0,1.503134006204443,1.0,1.503134006204443,Sideways,3600.0,0,Saturday,Asia,2022,1,101503.13400620445,1503.134006204443,-0.0
3,65,2022-01-01 01:30:00,2022-01-02 08:30:00,1433.182100642707,1202.459483652527,1,-0.1609862535170603,-16340.609263898974,62,-21.167650307689446,0.7306472980566969,-22.033374234769024,0.03451716593179353,Sideways,111600.0,1,Saturday,Asia,2022,1,85162.52474230547,1503.134006204443,16340.609263898974
65,71,2022-01-02 08:30:00,2022-01-02 11:30:00,1202.459483652527,1177.372190911484,-1,0.020863316462721215,1776.7727044630444,6,-1.7483534535709166,2.0863316462721215,1.0,1.1933122801976355,Bearish,10800.0,8,Sunday,London,2022,1,86939.29744676851,3279.9067106674875,16340.609263898974
71,72,2022-01-02 11:30:00,2022-01-02 12:00:00,1177.372190911484,1201.67122026996,1,0.02063835849534068,1794.2843880394653,1,0.0,2.063835849534068,1.0,2.063835849534068,Bearish,1800.0,11,Sunday,London,2022,1,88733.58183480798,5074.191098706953,16340.609263898974
72,104,2022-01-02 12:00:00,2022-01-03 04:00:00,1201.67122026996,1327.908602592418,-1,-0.10505151508421595,-9321.59721059584,32,-13.221913935051077,-0.0,0.0,-0.0,Bearish,57600.0,12,Sunday,London,2022,1,79411.98462421214,5074.191098706953,25662.206474494815
104,105,2022-01-03 04:00:00,2022-01-03 04:30:00,1327.908602592418,1336.255631349344,1,0.006285845833538861,499.171492683156,1,0.0,0.6285845833538861,1.0,0.6285845833538861,Bullish,1800.0,4,Monday,Asia,2022,1,79911.15611689529,5573.362591390109,25662.206474494815
105,110,2022-01-03 04:30:00,2022-01-03 07:00:00,1336.255631349344,1324.89660459474,-1,0.008500639015555533,679.2958914654295,5,-1.000447451365316,0.8500639015555533,1.0,0.8496837094196866,Bullish,9000.0,4,Monday,Asia,2022,1,80590.45200836072,6252.658482855538,25662.206474494815
110,111,2022-01-03 07:00:00,2022-01-03 07:30:00,1324.89660459474,1338.467384279661,1,0.010242897172396459,825.4797129985907,1,0.0,1.024289717239646,1.0,1.024289717239646,Bullish,1800.0,7,Monday,Asia,2022,1,81415.93172135932,7078.138195854129,25662.206474494815
111,112,2022-01-03 07:30:00,2022-01-03 08:00:00,1338.467384279661,1335.835533309203,-1,0.0019663168496814043,160.0895183762196,1,-0.0,0.19663168496814043,1.0,0.19663168496814043,Bullish,1800.0,7,Monday,Asia,2022,1,81576.02123973554,7238.227714230348,25662.206474494815
112,113,2022-01-03 08:00:00,2022-01-03 08:30:00,1335.835533309203,1340.779766318046,1,0.003701228845586213,301.9315229206628,1,0.0,0.3701228845586213,1.0,0.3701228845586213,Bullish,1800.0,8,Monday,London,2022,1,81877.95276265619,7540.159237151011,25662.206474494815
113,120,2022-01-03 08:30:00,2022-01-03 12:00:00,1340.779766318046,1316.197640531084,-1,0.01833420104068817,1501.1668467505085,7,-2.928263182119184,1.833420104068817,1.0,0.6261117905194474,Bullish,12600.0,8,Monday,London,2022,1,83379.1196094067,9041.32608390152,25662.206474494815
120,144,2022-01-03 12:00:00,2022-01-04 00:00:00,1316.197640531084,1260.966346385344,1,-0.041962766415121644,-3498.818520068023,24,-9.274565052919815,0.9541412171389041,-4.397961817533839,0.1028771928057717,Bullish,43200.0,12,Monday,London,2022,1,79880.30108933868,9041.32608390152,29161.02499456284
