symbol,timeframe,ema_x,ema_y,shifted_profit,no_shift_profit,lookahead_delta,kelly_profit,long_profit,short_profit
XRP,5m,299,300,65.02,-45.95,-110.97,38.51,24.59,32.45
XRP,15m,2,3,63.58,-68.39,-131.96,2.9,89.13,-13.51
ETH,2h,47,299,4445.92,2649.83,-1796.1,85.98,37.5,3206.14
ETH,15m,2,10,178.83,-80.95,-259.78,14.36,248.55,-20.0
ETH,30m,228,294,96.75,-62.78,-159.52,50.07,71.85,14.49
ETH,4h,12,13,20.87,-55.25,-76.13,1.8,378.72,-74.75
ETH,5m,37,96,1.55,-55.8,-57.35,0.13,21.02,-16.09
SOL,5m,150,288,59.75,-63.13,-122.88,19.92,14.92,39.01
SOL,1h,4,28,105.93,-69.36,-175.29,10.09,-0.35,106.66
XRP,30m,5,12,67.62,-66.64,-134.27,5.98,133.39,-28.18
XRP,2h,4,13,227.55,-81.2,-308.75,25.48,92.81,69.89
SOL,3h,145,298,124.34,29.77,-94.58,124.34,24.65,79.98
SOL,4h,20,29,39.41,-74.51,-113.92,5.13,14.68,21.57
SOL,30m,27,61,104.54,-83.77,-188.31,19.03,-10.77,129.23
XRP,1h,211,284,340.52,-84.83,-425.35,132.34,63.14,170.02
SOL,15m,134,153,1260.47,-95.8,-1356.27,609.47,283.34,254.9
ETH,1h,154,187,124.54,-72.25,-196.78,54.26,173.8,-17.99
XRP,3h,87,121,34.54,-58.02,-92.55,6.87,-24.03,77.08
SOL,2h,108,160,56.25,-53.47,-109.72,14.97,-4.62,63.83
ETH,3h,9,35,-7.42,-52.56,-45.14,0.0,234.54,-72.33
XAU,1h,299,300,149.85,-67.22,-217.06,90.0,23.41,102.46
XRP,4h,38,222,193.97,-76.46,-270.42,52.21,118.35,34.63
XAU,15m,21,32,-13.11,-23.46,-10.35,0.0,2.15,-14.93
XAU,5m,98,105,403.92,-82.05,-485.96,237.86,162.62,91.88
OIL,15m,2,3,129.41,-63.25,-192.66,11.45,100.85,14.22
XAU,30m,91,230,98.21,-58.9,-157.11,33.04,41.9,39.68
XAG,5m,53,64,101.38,-67.53,-168.91,31.24,224.1,-37.86
XAG,15m,278,296,165.91,-72.41,-238.31,76.01,163.91,0.76
XAG,2h,202,295,23.29,-75.63,-98.92,4.89,159.96,-52.57
XAG,1h,113,142,53.07,-62.11,-115.18,16.21,161.0,-41.35
XAG,30m,77,145,125.94,-73.25,-199.19,47.09,210.45,-27.22
OIL,5m,117,272,86.86,-49.37,-136.22,51.89,45.78,28.18
XAU,3h,202,267,301.33,-83.5,-384.83,189.92,197.78,34.77
XAG,3h,110,280,38.02,399.36,361.35,-18.16,29.58,6.51
XAU,4h,32,34,9.7,-39.34,-49.04,1.04,188.51,-61.98
XAG,4h,25,31,195.83,-78.28,-274.11,36.03,279.93,-22.14
XAU,2h,151,275,171.44,-71.23,-242.67,89.57,42.82,90.06
OIL,30m,216,296,206.29,-71.78,-278.07,175.8,112.6,44.07
OIL,1h,35,48,35.12,-37.88,-73.0,5.52,99.42,-32.24
OIL,2h,173,289,40.77,-64.05,-104.82,13.7,128.32,-38.35
OIL,3h,8,82,139.98,-64.15,-204.13,34.63,165.78,-9.71
TSLA,5m,20,299,574.8,72.45,-502.35,-93.74,144.1,176.44
TSLA,15m,41,57,0.25,-67.21,-67.46,0.06,168.19,-62.62
TSLA,30m,179,294,293.52,1155.37,861.85,-100.31,29.8,203.17
TSLA,4h,2,3,37.49,-70.64,-108.13,1.86,112.87,-35.41
GOOGL,2h,293,300,562.18,-92.29,-654.47,382.98,226.98,102.51
OIL,4h,195,214,41.4,-45.09,-86.49,14.24,96.98,-28.22
GOOGL,1h,6,7,-37.03,-65.48,-28.45,0.0,4.79,-39.9
GOOGL,4h,299,300,143.85,-78.95,-222.8,49.72,0.23,143.3
GOOGL,30m,5,7,-72.48,-34.07,38.41,0.0,2.98,-73.27
TSLA,2h,128,205,598.68,-90.16,-688.85,340.02,298.03,75.54
NVDA,30m,2,3,183.37,-87.54,-270.91,12.41,118.84,29.49
GOOGL,5m,33,115,2699.32,-98.24,-2797.56,1284.26,468.51,392.39
TSLA,1h,27,118,132.93,-80.26,-213.19,40.17,143.83,-4.47
NVDA,5m,44,54,244.93,-89.16,-334.09,59.56,106.71,66.87
GOOGL,15m,16,42,39.98,-84.5,-124.48,5.13,25.25,11.76
NVDA,15m,253,286,229.98,-85.19,-315.17,84.89,278.19,-12.75
TSLA,3h,72,167,744.41,-89.1,-833.52,265.31,214.89,168.16
NVDA,1h,10,12,223.81,-88.89,-312.7,26.59,292.37,-17.47
GOOGL,3h,18,37,185.72,-95.83,-281.55,15.77,228.37,-12.99
NVDA,3h,262,295,19.02,-40.22,-59.24,4.51,56.66,-24.02
NVDA,2h,32,238,522.89,-89.72,-612.61,184.35,186.01,117.79
NVDA,4h,115,201,-1.93,-64.76,-62.84,0.0,-15.42,15.96
